"Number and Proportion of Establishments Employing 20 or More Workers With Union, Collective Bargaining Agreement (CBA) and Labor Management Council (LMC) by Major Industry Group, Philippines: June 2014 to August 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__UCB/1001B3GU010.px/table/tableViewLayout1/?rxid=fdd19b93-a73f-442b-aa09-ebbd95a7dfa4"
"Major Industry Group";"2014 Total Number of Establishments";"2014 Establishments With Union";"2014 Proportion of Establishments With Union (Percent)";"2014 Establishments With CBA";"2014 Proportion of Establishments With CBA (Percent)";"2014 Establishments with LMC";"2014 Proportion of Establishments with LMC (Percent)";"2016 Total Number of Establishments";"2016 Establishments With Union";"2016 Proportion of Establishments With Union (Percent)";"2016 Establishments With CBA";"2016 Proportion of Establishments With CBA (Percent)";"2016 Establishments with LMC";"2016 Proportion of Establishments with LMC (Percent)";"2018 Total Number of Establishments";"2018 Establishments With Union";"2018 Proportion of Establishments With Union (Percent)";"2018 Establishments With CBA";"2018 Proportion of Establishments With CBA (Percent)";"2018 Establishments with LMC";"2018 Proportion of Establishments with LMC (Percent)";"2020 Total Number of Establishments";"2020 Establishments With Union";"2020 Proportion of Establishments With Union (Percent)";"2020 Establishments With CBA";"2020 Proportion of Establishments With CBA (Percent)";"2020 Establishments with LMC";"2020 Proportion of Establishments with LMC (Percent)";"2022 Total Number of Establishments";"2022 Establishments With Union";"2022 Proportion of Establishments With Union (Percent)";"2022 Establishments With CBA";"2022 Proportion of Establishments With CBA (Percent)";"2022 Establishments with LMC";"2022 Proportion of Establishments with LMC (Percent)"
"ALL INDUSTRIES";35209;2059;5.8;1946;5.5;..;..;31277;2099;6.7;2038;6.5;..;..;32517;2039;6.3;2001;6.2;..;..;34543;1464;4.2;1451;4.2;..;..;36342;1626;4.5;1444;4.0;2237;6.2
"..Agriculture, Forestry and Fishing";1370;139;10.1;134;9.8;..;..;1151;143;12.4;141;12.3;..;..;1147;141;12.3;136;11.9;..;..;951;51;5.4;44;4.6;..;..;1125;126;11.2;115;10.2;80;7.1
"..Mining and Quarrying";195;11;5.6;10;5.1;..;..;156;23;14.7;23;14.7;..;..;152;27;17.8;24;16.0;..;..;150;15;10.1;15;10.1;..;..;165;18;10.6;15;9.0;23;13.8
"..Manufacturing";6562;799;12.2;780;11.9;..;..;6068;755;12.4;739;12.2;..;..;5980;761;12.7;758;12.7;..;..;5923;664;11.2;663;11.2;..;..;6213;592;9.5;565;9.1;573;9.2
"..Electricity, Gas, Steam and Air Conditioning Supply";422;139;32.9;134;31.8;..;..;249;85;34.1;80;32.1;..;..;282;84;29.8;81;28.7;..;..;263;71;26.9;71;26.9;..;..;296;66;22.5;54;18.4;59;20.1
"..Water Supply; Sewerage, Waste Management and Remediation Activities";315;64;20.3;51;16.2;..;..;334;77;23.1;75;22.5;..;..;341;69;20.2;62;18.2;..;..;331;49;14.9;49;14.9;..;..;376;90;24.1;67;17.9;40;10.6
"..Construction";1042;16;1.5;16;1.5;..;..;986;12;1.2;11;1.1;..;..;1006;17;1.7;17;1.7;..;..;1193;3;0.2;3;0.2;..;..;1238;26;2.1;25;2.0;35;2.8
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";7744;246;3.2;244;3.2;..;..;7127;291;4.1;282;4.0;..;..;7829;335;4.3;330;4.2;..;..;8681;162;1.9;162;1.9;..;..;10198;231;2.3;182;1.8;442;4.3
"..Transportation and Storage";1155;94;8.1;88;7.6;..;..;1063;91;8.6;88;8.3;..;..;1063;84;7.9;84;7.9;..;..;1043;53;5.1;53;5.1;..;..;1302;68;5.2;60;4.6;74;5.7
"..Accommodation and Food Service Activities";4775;126;2.6;91;1.9;..;..;4197;180;4.3;173;4.1;..;..;4220;164;3.9;159;3.8;..;..;4070;194;4.8;194;4.8;..;..;3620;75;2.1;67;1.9;217;6.0
"..Information and Communication";926;57;6.2;57;6.2;..;..;808;17;2.1;17;2.1;..;..;782;18;2.3;18;2.3;..;..;788;19;2.4;15;1.9;..;..;865;11;1.3;8;1.0;36;4.2
"..Financial and Insurance Activities";1532;94;6.1;94;6.1;..;..;1365;185;13.6;175;12.8;..;..;1332;113;8.5;110;8.3;..;..;1455;42;2.9;42;2.9;..;..;1855;144;7.8;142;7.7;182;9.8
"..Real Estate Activities";508;2;0.4;2;0.4;..;..;410;10;2.4;10;2.4;..;..;454;4;0.9;4;0.9;..;..;613;5;0.8;5;0.8;..;..;676;12;1.8;7;1.0;38;5.7
"..Professional, Scientific and Technical Activities";744;46;6.2;46;6.2;..;..;654;20;3.1;20;3.1;..;..;750;8;1.1;8;1.1;..;..;846;4;0.5;4;0.5;..;..;752;3;0.4;2;0.3;36;4.8
"..Administrative and Support Service Activities";2145;37;1.7;14;0.7;..;..;1797;11;0.6;11;0.6;..;..;1935;10;0.5;9;0.5;..;..;2445;3;0.1;3;0.1;..;..;2530;6;0.2;6;0.2;90;3.6
"..Education Except Public Education";4139;111;2.7;110;2.7;..;..;3362;117;3.5;116;3.5;..;..;3610;128;3.5;125;3.5;..;..;3894;69;1.8;69;1.8;..;..;3234;85;2.6;66;2.0;201;6.2
"..Human Health and Social Work Activities Except Public Health Activities";923;37;4.0;37;4.0;..;..;970;43;4.4;38;3.9;..;..;1048;47;4.5;47;4.5;..;..;1378;38;2.7;38;2.7;..;..;1365;57;4.1;48;3.5;96;7.0
"..Arts, Entertainment and Recreation";208;32;15.4;29;13.9;..;..;243;33;13.6;33;13.6;..;..;240;26;10.8;26;10.8;..;..;202;21;10.5;21;10.5;..;..;251;18;7.0;14;5.6;12;4.7
"..Other Service Activities Except Activities of Membership Organizations";504;10;2.0;10;2.0;..;..;335;9;2.7;9;2.7;..;..;345;1;0.3;1;0.3;..;..;317;0;0.0;0;0.0;..;..;280;0;0.0;0;0.0;4;1.3
