"Household Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO/0021A6DPAG0.px/table/tableViewLayout1/?rxid=4bef55ae-6979-4e42-b91c-a09cdad01a99"
"""Geographic Location"";""Both Sexes All Ages"";""Both Sexes Below 5"";""Both Sexes 5-9"";""Both Sexes 10-14"";""Both Sexes 15-19"";""Both Sexes 20-24"";""Both Sexes 25-29"";""Both Sexes 30-34"";""Both Sexes 35-39"";""Both Sexes 40-44"";""Both Sexes 45-49"";""Both Sexes 50-54"";""Both Sexes 55-59"";""Both Sexes 60-64"";""Both Sexes 65-69"";""Both Sexes 70-74"";""Both Sexes 75-79"";""Both Sexes 80 years old and over"";""Male All Ages"";""Male Below 5"";""Male 5-9"";""Male 10-14"";""Male 15-19"";""Male 20-24"";""Male 25-29"";""Male 30-34"";""Male 35-39"";""Male 40-44"";""Male 45-49"";""Male 50-54"";""Male 55-59"";""Male 60-64"";""Male 65-69"";""Male 70-74"";""Male 75-79"";""Male 80 years old and over"";""Female All Ages"";""Female Below 5"";""Female 5-9"";""Female 10-14"";""Female 15-19"";""Female 20-24"";""Female 25-29"";""Female 30-34"";""Female 35-39"";""Female 40-44"";""Female 45-49"";""Female 50-54"";""Female 55-59"";""Female 60-64"";""Female 65-69"";""Female 70-74"";""Female 75-79"";""Female 80 years old and over""",,,,
" ""PHILIPPINES /a"";108667043;11066707;11266823;11080715;10459186;9969846;9172896;8120568;7179320;6491312;5571168;4941712;4124118;3367223;2393521;1575398;930610;955920;55017643;5712817;5840155;5716464;5344532;5073881;4669488;4175658;3676838;3326411;2843263;2486661;2048881;1627460;1111215;682312;365443;316164;53649400;5353890;5426668;5364251;5114654;4895965;4503408;3944910;3502482;3164901;2727905;2455051;2075237;1739763;1282306;893086;565167;639756",,,,
" ""..NATIONAL CAPITAL REGION (NCR)"";13403551;1279455;1237358;1176552;1116332;1275404;1288164;1163432;1007583;885774;741559;648401;527921;421094;279636;176093;88354;90439;6674239;660748;641557;608186;566962;638921;648797;593552;506933;441278;365802;312085;247287;191240;121505;71391;31616;26379;6729312;618707;595801;568366;549370;636483;639367;569880;500650;444496;375757;336316;280634;229854;158131;104702;56738;64060",,,,
" ""....City of Manila"";1837785;169197;166219;158492;157479;179543;177304;154671;132764;118295;101184;92142;75686;60909;40744;26745;12888;13523;912803;87379;86176;81613;79738;89862;89314;79429;67126;59096;50085;44256;35414;27409;17420;10541;4440;3505;924982;81818;80043;76879;77741;89681;87990;75242;65638;59199;51099;47886;40272;33500;23324;16204;8448;10018",,,,
" ""....City of Mandaluyong"";419333;38658;36691;34543;31431;43497;45661;38642;32157;27448;22870;19479;15805;12554;8507;5673;2900;2817;206818;19973;18719;17746;15825;21507;22894;19568;16066;13780;11296;9384;7165;5477;3546;2147;989;736;212515;18685;17972;16797;15606;21990;22767;19074;16091;13668;11574;10095;8640;7077;4961;3526;1911;2081",,,,
" ""....City of Marikina"";452961;42157;42273;41145;38225;40551;40231;36153;32099;29570;26155;23282;19083;15700;11067;7303;3713;4254;224014;21804;21899;21415;19465;20378;19981;18311;15793;14582;12560;11161;9008;7220;4768;2969;1324;1376;228947;20353;20374;19730;18760;20173;20250;17842;16306;14988;13595;12121;10075;8480;6299;4334;2389;2878",,,,
" ""....City of Pasig"";801439;81142;78013;71008;65599;71983;76433;71548;62271;53920;43827;36904;29210;23382;15952;10218;5029;5000;397387;41770;40399;36887;33210;35711;37907;36103;31334;26727;21545;17673;13572;10332;6667;4242;1774;1534;404052;39372;37614;34121;32389;36272;38526;35445;30937;27193;22282;19231;15638;13050;9285;5976;3255;3466",,,,
" ""....Quezon City"";2950493;291124;276416;258418;241493;274038;276410;252021;219307;195077;165706;146235;119573;94313;61459;37828;19784;21291;1465480;149971;143125;134154;122294;137129;139223;128187;110066;96425;81173;69846;55691;42767;26714;15372;7138;6205;1485013;141153;133291;124264;119199;136909;137187;123834;109241;98652;84533;76389;63882;51546;34745;22456;12646;15086",,,,
" ""....City of San Juan"";124699;10650;10024;9604;8923;11514;11381;10714;9586;8834;7618;6841;5989;4794;3346;2263;1201;1417;60124;5475;5186;5055;4542;5562;5510;5263;4658;4185;3622;3256;2659;2050;1352;958;383;408;64575;5175;4838;4549;4381;5952;5871;5451;4928;4649;3996;3585;3330;2744;1994;1305;818;1009",,,,
" ""....City of Caloocan"";1659025;167266;164478;156972;149846;157942;152446;134931;118704;105656;89306;79300;63898;49784;31316;18942;9470;8768;835738;87000;85677;80811;76819;79622;77308;69105;60200;53258;44930;39177;30641;23519;14047;7661;3386;2577;823287;80266;78801;76161;73027;78320;75138;65826;58504;52398;44376;40123;33257;26265;17269;11281;6084;6191",,,,
" ""....City of Malabon"";379463;35984;36529;35817;34437;36859;34372;30303;26880;24617;20863;18149;14985;11945;7819;5072;2414;2418;191974;18636;19031;18538;17698;18743;17675;15740;13641;12488;10573;9053;7335;5559;3518;2129;911;706;187489;17348;17498;17279;16739;18116;16697;14563;13239;12129;10290;9096;7650;6386;4301;2943;1503;1712",,,,
" ""....City of Navotas"";246743;25337;25699;24348;23052;23356;21398;19098;16814;15509;13164;11390;9428;7356;4921;3064;1512;1297;125744;13151;13542;12521;11831;11951;10976;9919;8554;8020;6796;5682;4738;3620;2276;1212;567;388;120999;12186;12157;11827;11221;11405;10422;9179;8260;7489;6368;5708;4690;3736;2645;1852;945;909",,,,
" ""....City of Valenzuela"";713181;66781;65212;65950;62632;69477;68677;62498;54590;48705;39381;32879;26193;20020;13667;8379;4148;3992;362597;34603;33941;34137;31935;35700;35586;32661;28111;24876;20019;16442;12760;9514;6113;3496;1526;1177;350584;32178;31271;31813;30697;33777;33091;29837;26479;23829;19362;16437;13433;10506;7554;4883;2622;2815",,,,
" ""....City of Las Pi�as"";604283;55381;55195;52600;50701;57676;56189;51603;45993;41384;34524;29228;23615;19264;13592;8856;4395;4087;299446;28614;28704;27220;25800;29034;28149;26019;22654;20237;16971;13912;10907;8644;5942;3706;1657;1276;304837;26767;26491;25380;24901;28642;28040;25584;23339;21147;17553;15316;12708;10620;7650;5150;2738;2811",,,,
" ""....City of Makati"";624032;52754;47909;45441;42820;56055;64903;63121;52033;42553;35406;31891;27895;24197;15959;9960;5035;6100;302987;26905;24759;23557;21681;27092;31737;31818;25615;20687;16841;14697;12607;10696;6767;3975;1764;1789;321045;25849;23150;21884;21139;28963;33166;31303;26418;21866;18565;17194;15288;13501;9192;5985;3271;4311",,,,
" ""....City of Muntinlupa"";519112;48124;46271;43923;43559;47723;48596;45215;40881;35894;30066;25501;20545;17082;11606;7223;3544;3359;256360;24974;23902;22544;22185;23967;24387;22739;20490;17580;14507;12010;9265;7527;4924;2981;1337;1041;262752;23150;22369;21379;21374;23756;24209;22476;20391;18314;15559;13491;11280;9555;6682;4242;2207;2318",,,,
" ""....City of Para�aque"";686313;65188;60674;57204;52275;61893;65062;62914;55303;47334;39761;34354;27554;22192;14735;9551;5043;5276;339314;33402;31399;29634;26579;31082;32920;32187;27478;23211;19198;16013;12488;9897;6353;3929;1859;1685;346999;31786;29275;27570;25696;30811;32142;30727;27825;24123;20563;18341;15066;12295;8382;5622;3184;3591",,,,
" ""....Pasay City"";437003;33038;34698;34399;34196;49416;52250;42628;35045;29187;23236;20200;16047;12520;8704;5706;2857;2876;217169;17045;17840;17605;17049;24733;26241;21715;18010;14699;11463;9772;7576;5570;3789;2268;953;841;219834;15993;16858;16794;17147;24683;26009;20913;17035;14488;11773;10428;8471;6950;4915;3438;1904;2035",,,,
" ""....City of Taguig"";882622;90829;85123;80819;74250;87932;90951;81765;68330;57484;44835;37324;29748;22939;14702;8302;3860;3429;443918;47030;44188;41700;37534;43882;46024;41916;34732;29269;22427;18137;14172;10495;6628;3398;1413;973;438704;43799;40935;39119;36716;44050;44927;39849;33598;28215;22408;19187;15576;12444;8074;4904;2447;2456",,,,
" ""....Pateros"";65064;5845;5934;5869;5414;5949;5900;5607;4826;4307;3657;3302;2667;2143;1540;1008;561;535;32366;3016;3070;3049;2777;2966;2965;2872;2405;2158;1796;1614;1289;944;681;407;195;162;32698;2829;2864;2820;2637;2983;2935;2735;2421;2149;1861;1688;1378;1199;859;601;366;373",,,,
" ""..CORDILLERA ADMINISTRATIVE REGION (CAR)"";1791121;158412;171000;175745;178302;174000;159256;140033;121818;104424;88546;81832;71075;58858;42484;27216;16714;21406;917431;81950;89241;90577;90959;89131;82705;73366;64290;54819;46262;41978;36101;29029;20297;12257;6853;7616;873690;76462;81759;85168;87343;84869;76551;66667;57528;49605;42284;39854;34974;29829;22187;14959;9861;13790",,,,
" ""....Abra"";250309;19821;24125;25170;25328;21023;19781;18018;16609;14854;12620;12128;10944;9839;7406;4980;3085;4578;127632;10326;12530;12969;13020;10905;10242;9334;8721;7833;6525;6300;5504;4905;3514;2203;1215;1586;122677;9495;11595;12201;12308;10118;9539;8684;7888;7021;6095;5828;5440;4934;3892;2777;1870;2992",,,,
" ""....Apayao"";123937;11169;12088;13012;12476;11632;10105;8725;7960;7317;6713;5734;5035;4214;2960;1954;1250;1593;64221;5824;6375;6812;6396;6018;5342;4628;4173;3856;3522;3070;2608;2116;1426;892;555;608;59716;5345;5713;6200;6080;5614;4763;4097;3787;3461;3191;2664;2427;2098;1534;1062;695;985",,,,
" ""....Benguet *"";459468;44600;44600;43730;43789;44984;42441;38230;32625;26865;21946;20356;17733;14108;9629;5953;3695;4184;238436;22964;23231;22403;22330;23155;22401;20432;17559;14382;11778;10639;9350;7211;4759;2746;1573;1523;221032;21636;21369;21327;21459;21829;20040;17798;15066;12483;10168;9717;8383;6897;4870;3207;2122;2661",,,,
" ""....Ifugao"";207130;20424;21918;22235;21219;19754;18376;15723;13209;11348;9466;8398;7253;6032;4685;2837;1695;2558;107699;10538;11484;11389;10901;10216;9709;8410;7263;6171;5215;4351;3734;2951;2321;1361;707;978;99431;9886;10434;10846;10318;9538;8667;7313;5946;5177;4251;4047;3519;3081;2364;1476;988;1580",,,,
" ""....Kalinga"";229328;22218;23620;24173;24196;22535;19826;16853;14064;12536;10914;9848;8279;6952;5188;3385;2174;2567;118539;11517;12261;12607;12376;11630;10366;9082;7500;6698;5667;5022;4287;3387;2587;1574;952;1026;110789;10701;11359;11566;11820;10905;9460;7771;6564;5838;5247;4826;3992;3565;2601;1811;1222;1541",,,,
" ""....Mountain Province"";157798;13607;15809;16712;16767;14611;13085;11666;9693;8449;7474;7198;6371;5351;4035;2646;1830;2494;81938;7058;8263;8658;8654;7781;6934;6149;5209;4499;4000;3907;3326;2729;2021;1153;751;846;75860;6549;7546;8054;8113;6830;6151;5517;4484;3950;3474;3291;3045;2622;2014;1493;1079;1648",,,,
" ""....City of Baguio"";363151;26573;28840;30713;34527;39461;35642;30818;27658;23055;19413;18170;15460;12362;8581;5461;2985;3432;178966;13723;15097;15739;17282;19426;17711;15331;13865;11380;9555;8689;7292;5730;3669;2328;1100;1049;184185;12850;13743;14974;17245;20035;17931;15487;13793;11675;9858;9481;8168;6632;4912;3133;1885;2383",,,,
" ""..REGION I (ILOCOS REGION)"";5292297;479836;499534;514572;501456;462134;421377;379586;356300;323856;286271;263580;226279;189973;141342;104465;65454;76282;2680776;248695;259962;267268;258916;238151;216822;195011;182835;166928;147297;134310;113221;92493;65285;44424;24746;24412;2611521;231141;239572;247304;242540;223983;204555;184575;173465;156928;138974;129270;113058;97480;76057;60041;40708;51870",,,,
" ""....Ilocos Norte"";608508;46554;49215;55235;54005;52082;48237;45395;44160;39434;35341;33368;28339;23677;18078;13389;9749;12250;305992;24053;25721;28773;27985;26963;24526;23258;22815;20269;18063;16815;13881;11249;8154;5597;3767;4103;302516;22501;23494;26462;26020;25119;23711;22137;21345;19165;17278;16553;14458;12428;9924;7792;5982;8147",,,,
" ""....Ilocos Sur"";704218;53016;59988;65732;64483;58781;56268;51235;49720;45825;39850;37299;33199;27675;21470;15166;10630;13881;355807;27602;31219;33965;33297;30445;29079;26429;25568;23795;20548;19212;16717;13447;9805;6405;3871;4403;348411;25414;28769;31767;31186;28336;27189;24806;24152;22030;19302;18087;16482;14228;11665;8761;6759;9478",,,,
" ""....La Union"";820343;67901;72652;75487;75025;72345;66842;60960;57321;51684;45366;42627;37567;32171;23544;16869;9730;12252;414862;35210;37891;39168;38729;37253;34309;31215;29443;26567;23336;21755;18730;15622;10902;7154;3723;3855;405481;32691;34761;36319;36296;35092;32533;29745;27878;25117;22030;20872;18837;16549;12642;9715;6007;8397",,,,
" ""....Pangasinan"";3159228;312365;317679;318118;307943;278926;250030;221996;205099;186913;165714;150286;127174;106450;78250;59041;35345;37899;1604115;161830;165131;165362;158905;143490;128908;114109;105009;96297;85350;76528;63893;52175;36424;25268;13385;12051;1555113;150535;152548;152756;149038;135436;121122;107887;100090;90616;80364;73758;63281;54275;41826;33773;21960;25848",,,,
" ""..REGION II (CAGAYAN VALLEY)"";3679748;330628;360920;366630;345848;329597;304439;272457;244230;228991;199708;179505;158411;131106;93670;58740;34129;40739;1874484;170454;187779;189028;178096;169442;156337;140913;126525;118800;103705;92002;80117;64610;44049;25532;13384;13711;1805264;160174;173141;177602;167752;160155;148102;131544;117705;110191;96003;87503;78294;66496;49621;33208;20745;27028",,,,
" ""....Batanes"";18593;1342;1518;1656;1790;1605;1494;1303;1202;1193;1192;1026;893;679;560;386;316;438;9541;684;828;863;916;859;825;696;620;651;614;540;468;323;262;160;114;118;9052;658;690;793;874;746;669;607;582;542;578;486;425;356;298;226;202;320",,,,
" ""....Cagayan"";1265540;109736;123700;126024;118615;114666;103798;91679;83107;77360;68308;61269;55562;47125;34133;21112;12827;16519;640546;56847;64441;65069;61057;58829;52967;46957;42569;39677;35292;31067;27816;22683;15852;8943;4955;5525;624994;52889;59259;60955;57558;55837;50831;44722;40538;37683;33016;30202;27746;24442;18281;12169;7872;10994",,,,
" ""....Isabela"";1695539;154625;164949;168961;158359;151139;141693;127440;112591;107391;93214;83922;72827;59072;41626;26307;15032;16391;863523;79424;85694;87154;81649;77409;72534;65846;58106;55667;48330;42866;36940;29420;19555;11513;5860;5556;832016;75201;79255;81807;76710;73730;69159;61594;54485;51724;44884;41056;35887;29652;22071;14794;9172;10835",,,,
" ""....Nueva Vizcaya"";496546;46071;50144;48787;47325;44108;40671;37009;33532;30351;25980;23819;20919;17457;12598;8019;4272;5484;255505;23838;26100;25020;24218;22982;21175;19509;17914;16103;13636;12466;10684;8727;5994;3570;1735;1834;241041;22233;24044;23767;23107;21126;19496;17500;15618;14248;12344;11353;10235;8730;6604;4449;2537;3650",,,,
" ""....Quirino"";203530;18854;20609;21202;19759;18079;16783;15026;13798;12696;11014;9469;8210;6773;4753;2916;1682;1907;105369;9661;10716;10922;10256;9363;8836;7905;7316;6702;5833;5063;4209;3457;2386;1346;720;678;98161;9193;9893;10280;9503;8716;7947;7121;6482;5994;5181;4406;4001;3316;2367;1570;962;1229",,,,
" ""..REGION III (CENTRAL LUZON)"";12387811;1188464;1211975;1218156;1152536;1150568;1052402;930115;841804;777765;665783;607096;496775;402832;282382;193592;106218;109348;6272297;614754;631189;631237;592278;588612;537260;474054;425786;395517;339182;305450;248107;196046;131614;84212;41714;35285;6115514;573710;580786;586919;560258;561956;515142;456061;416018;382248;326601;301646;248668;206786;150768;109380;64504;74063",,,,
" ""....Aurora"";234991;23603;25017;25458;23791;21160;18575;16728;14440;13266;12419;11026;9218;7510;5300;3441;2039;2000;120266;12135;13004;13198;12155;10847;9500;8663;7497;6846;6415;5754;4883;3749;2567;1545;832;676;114725;11468;12013;12260;11636;10313;9075;8065;6943;6420;6004;5272;4335;3761;2733;1896;1207;1324",,,,
" ""....Bataan"";849575;85714;85450;84388;77625;78481;71061;63884;58679;52910;43705;40186;33815;28600;20068;12933;5883;6193;428745;44152;44313;43715;39859;40365;36120;32550;29494;26589;22096;19907;16565;13696;9193;5782;2340;2009;420830;41562;41137;40673;37766;38116;34941;31334;29185;26321;21609;20279;17250;14904;10875;7151;3543;4184",,,,
" ""....Bulacan"";3696937;346244;358629;362009;341372;348472;320087;280918;258248;240939;201543;181146;147038;117744;81361;53755;28678;28754;1868036;179855;187438;187307;174968;178062;164032;143302;130319;122074;101741;90214;72369;56238;37366;22677;10980;9094;1828901;166389;171191;174702;166404;170410;156055;137616;127929;118865;99802;90932;74669;61506;43995;31078;17698;19660",,,,
" ""....Nueva Ecija"";2306751;222523;227574;228527;212279;204790;191183;167704;153695;143212;125639;116481;96819;78351;54939;36921;22741;23373;1169247;114947;118661;118680;109062;104966;97757;85652;77967;73275;64120;59148;48655;38419;25882;15869;8840;7347;1137504;107576;108913;109847;103217;99824;93426;82052;75728;69937;61519;57333;48164;39932;29057;21052;13901;16026",,,,
" ""....Pampanga *"";2433144;230638;229762;234412;230387;233850;210423;185378;165452;154501;131028;120030;95329;77035;53968;38718;20771;21462;1236783;119058;119038;121748;118602;119986;107589;94647;84027;78839;67221;60872;48170;38086;25662;17391;8486;7361;1196361;111580;110724;112664;111785;113864;102834;90731;81425;75662;63807;59158;47159;38949;28306;21327;12285;14101",,,,
" ""....Tarlac"";1499064;147415;152140;152327;139744;132584;121083;108007;97941;90534;80601;73351;60700;49980;35911;26129;14879;15738;762437;76227;79487;79108;72252;68336;62247;55219;49901;46407;41534;37126;30723;24637;16798;11464;5873;5098;736627;71188;72653;73219;67492;64248;58836;52788;48040;44127;39067;36225;29977;25343;19113;14665;9006;10640",,,,
" ""....Zambales *"";647545;59897;65340;65403;61389;56788;50893;48043;43145;38306;34124;32426;27534;22819;16451;11761;6276;6950;327966;31191;34052;33629;31751;28970;26033;24559;21827;19515;17518;16435;13852;11235;7661;5184;2419;2135;319579;28706;31288;31774;29638;27818;24860;23484;21318;18791;16606;15991;13682;11584;8790;6577;3857;4815",,,,
" ""....City of Angeles"";461165;49742;45030;42518;41780;47512;45171;38483;32803;28437;22561;19763;15777;12494;8192;5516;2683;2703;230182;25374;23287;21956;21207;23441;21942;18902;16213;14291;11437;9756;7875;6101;3837;2531;1107;925;230983;24368;21743;20562;20573;24071;23229;19581;16590;14146;11124;10007;7902;6393;4355;2985;1576;1778",,,,
" ""....City of Olongapo"";258639;22688;23033;23114;24169;26931;23926;20970;17401;15660;14163;12687;10545;8299;6192;4418;2268;2175;128635;11815;11909;11896;12422;13639;12040;10560;8541;7681;7100;6238;5015;3885;2648;1769;837;640;130004;10873;11124;11218;11747;13292;11886;10410;8860;7979;7063;6449;5530;4414;3544;2649;1431;1535",,,,
" ""..REGION IV-A (CALABARZON)"";16139770;1553093;1571650;1547516;1470129;1503117;1425154;1292281;1177132;1060941;869587;757316;618559;499642;343916;217354;117635;114748;8113997;802093;816299;800293;753831;764034;720390;656566;592020;534437;439265;375347;301261;236580;154720;90027;42906;33928;8025773;751000;755351;747223;716298;739083;704764;635715;585112;526504;430322;381969;317298;263062;189196;127327;74729;80820",,,,
" ""....Batangas"";2902855;275880;275394;274015;272447;277566;257367;221474;205178;185228;156038;136396;109209;90319;66000;45943;26315;28086;1459795;143016;143832;142327;140241;141368;130025;112325;103200;93891;79031;68192;53874;43131;29411;18445;9311;8175;1443060;132864;131562;131688;132206;136198;127342;109149;101978;91337;77007;68204;55335;47188;36589;27498;17004;19911",,,,
" ""....Cavite"";4318663;401577;404744;397632;380078;403532;388502;363847;333006;296898;240076;207111;168196;132179;87976;55724;28715;28870;2160830;207692;210400;205658;194264;204168;196029;183749;166403;147703;119823;101244;80613;61490;39350;23035;10534;8675;2157833;193885;194344;191974;185814;199364;192473;180098;166603;149195;120253;105867;87583;70689;48626;32689;18181;20195",,,,
" ""....Laguna"";3373136;312077;316639;309240;290031;318526;320611;287125;258468;230560;181554;156676;128381;104814;71865;42925;22563;21081;1692202;161520;164023;160063;149221;161193;161350;146034;129600;115663;91800;77260;61354;49205;31981;17753;8167;6015;1680934;150557;152616;149177;140810;157333;159261;141091;128868;114897;89754;79416;67027;55609;39884;25172;14396;15066",,,,
" ""....Quezon *"";1945444;200888;210448;213163;196338;169814;148037;131709;118877;111356;98943;91951;78587;64989;46083;29239;17856;17166;988919;103412;109075;109877;101089;87832;75770;67553;61124;57464;50972;46962;40051;32005;21607;12399;6588;5139;956525;97476;101373;103286;95249;81982;72267;64156;57753;53892;47971;44989;38536;32984;24476;16840;11268;12027",,,,
" ""....Rizal"";3321325;332880;335320;324911;304135;306761;287393;268310;243840;220542;179065;152454;123430;98761;65929;39858;20152;17584;1673108;170988;173980;167721;155306;155785;145339;136918;122700;111531;90692;75565;60115;46720;29738;16968;7631;5411;1648217;161892;161340;157190;148829;150976;142054;131392;121140;109011;88373;76889;63315;52041;36191;22890;12521;12173",,,,
" ""....City of Lucena"";278347;29791;29105;28555;27100;26918;23244;19816;17763;16357;13911;12728;10756;8580;6063;3665;2034;1961;139143;15465;14989;14647;13710;13688;11877;9987;8993;8185;6947;6124;5254;4029;2633;1427;675;513;139204;14326;14116;13908;13390;13230;11367;9829;8770;8172;6964;6604;5502;4551;3430;2238;1359;1448",,,,
" ""..MIMAROPA REGION"";3212287;331973;356104;357807;338454;293266;251666;218745;198013;178999;158431;139366;117682;97207;69501;47198;29041;28834;1638824;171875;184463;185005;172855;150634;128144;112268;102361;93247;82495;71719;60104;48268;33211;20872;11775;9528;1573463;160098;171641;172802;165599;142632;123522;106477;95652;85752;75936;67647;57578;48939;36290;26326;17266;19306",,,,
" ""....Marinduque"";238830;23480;24755;26108;25028;19016;14942;14174;13428;13654;12431;12166;10321;9583;7426;5460;3492;3366;120345;12290;12829;13420;12884;10030;7622;7106;6823;6983;6362;6171;5091;4679;3434;2353;1311;957;118485;11190;11926;12688;12144;8986;7320;7068;6605;6671;6069;5995;5230;4904;3992;3107;2181;2409",,,,
" ""....Occidental Mindoro"";521444;58027;61101;60328;55561;45682;39153;34362;31855;28835;25779;22235;18187;14630;10292;7172;4131;4114;267744;30098;31779;31434;28443;23487;19971;17844;16507;15121;13414;11476;9425;7319;4957;3218;1779;1472;253700;27929;29322;28894;27118;22195;19182;16518;15348;13714;12365;10759;8762;7311;5335;3954;2352;2642",,,,
" ""....Oriental Mindoro"";906661;92526;98117;99767;93494;80010;70952;62794;56654;52447;46305;40825;34226;28660;20400;13525;7881;8078;458903;47829;50999;51307;47845;40859;35987;31775;29023;27027;23870;20764;17165;13889;9527;5648;2934;2455;447758;44697;47118;48460;45649;39151;34965;31019;27631;25420;22435;20061;17061;14771;10873;7877;4947;5623",,,,
" ""....Palawan *"";934669;102307;111213;107457;99910;88012;75837;64074;57520;49952;43381;36303;30864;24549;17559;11716;7201;6814;484231;52977;57247;55567;51098;45641;39098;33355;30378;26672;23225;19342;16420;12645;8864;5741;3295;2666;450438;49330;53966;51890;48812;42371;36739;30719;27142;23280;20156;16961;14444;11904;8695;5975;3906;4148",,,,
" ""....Romblon"";308072;27803;32177;34622;33662;27464;21895;19387;17499;16074;15530;14949;13258;11191;7889;5742;4407;4523;155723;14320;16736;18027;17267;14433;11238;10026;8968;8342;8018;7606;6595;5470;3526;2239;1641;1271;152349;13483;15441;16595;16395;13031;10657;9361;8531;7732;7512;7343;6663;5721;4363;3503;2766;3252",,,,
" ""....City of Puerto Princesa"";302611;27830;28741;29525;30799;33082;28887;23954;21057;18037;15005;12888;10826;8594;5935;3583;1929;1939;151878;14361;14873;15250;15318;16184;14228;12162;10662;9102;7606;6360;5408;4266;2903;1673;815;707;150733;13469;13868;14275;15481;16898;14659;11792;10395;8935;7399;6528;5418;4328;3032;1910;1114;1232",,,,
" ""..REGION V (BICOL REGION)"";6067290;678871;697454;693247;665791;529513;438468;384849;344492;323224;284233;264872;224152;185959;136836;96149;60836;58344;3078272;351254;363215;358990;341388;272403;224267;198665;177454;165905;144653;133629;112015;90104;63084;40408;22883;17955;2989018;327617;334239;334257;324403;257110;214201;186184;167038;157319;139580;131243;112137;95855;73752;55741;37953;40389",,,,
" ""....Albay"";1372550;138688;147794;150748;148877;123071;102774;90740;82833;77737;67298;62039;52476;43693;32546;23532;14132;13572;694002;71829;77212;78124;76236;63371;52530;46407;42484;39786;33943;31245;26083;20691;14939;9831;5273;4018;678548;66859;70582;72624;72641;59700;50244;44333;40349;37951;33355;30794;26393;23002;17607;13701;8859;9554",,,,
" ""....Camarines Norte"";628807;73392;73278;70429;64594;54022;46058;41026;36199;33635;29648;28556;23834;19642;14064;9403;5743;5284;319622;38029;38149;36272;33059;27711;23461;21400;18549;17288;15205;14555;12074;9763;6558;3940;2090;1519;309185;35363;35129;34157;31535;26311;22597;19626;17650;16347;14443;14001;11760;9879;7506;5463;3653;3765",,,,
