"Household Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020"
" ""....Camarines Sur"";2062277;236578;236038;235370;228307;180856;149651;133229;117986;109454;94261;87159;74549;62258;46160;32188;19532;18701;1046448;122357;122977;121893;117038;93040;76723;68867;60848;56218;47775;43844;36998;29944;21252;13488;7370;5816;1015829;114221;113061;113477;111269;87816;72928;64362;57138;53236;46486;43315;37551;32314;24908;18700;12162;12885",,,,
" ""....Catanduanes"";270775;29357;30616;30456;29822;23423;19162;16593;15064;14013;12883;12248;10499;8491;6358;4628;3404;3758;138488;15259;15821;15815;15588;12279;9958;8527;7870;7217;6760;6341;5412;4292;2940;1931;1305;1173;132287;14098;14795;14641;14234;11144;9204;8066;7194;6796;6123;5907;5087;4199;3418;2697;2099;2585",,,,
" ""....Masbate"";906731;110676;115155;115213;103140;75243;61793;52864;46468;43710;40051;36844;31160;26166;18917;12583;8649;8099;459662;56984;59438;59255;52630;38199;31325;27571;24186;22529;20482;18446;15616;12797;8770;5405;3326;2703;447069;53692;55717;55958;50510;37044;30468;25293;22282;21181;19569;18398;15544;13369;10147;7178;5323;5396",,,,
" ""....Sorsogon"";826150;90180;94573;91031;91051;72898;59030;50397;45942;44675;40092;38026;31634;25709;18791;13815;9376;8930;420050;46796;49618;47631;46837;37803;30270;25893;23517;22867;20488;19198;15832;12617;8625;5813;3519;2726;406100;43384;44955;43400;44214;35095;28760;24504;22425;21808;19604;18828;15802;13092;10166;8002;5857;6204",,,,
" ""..REGION VI (WESTERN VISAYAS)"";7935531;761614;790100;792840;760622;697690;635733;570299;507673;460579;408204;378155;334290;282080;211752;142747;95758;105395;4029971;392881;410646;410418;390303;358894;328201;298565;266510;242002;210679;191187;166574;135277;97537;60542;36459;33296;3905560;368733;379454;382422;370319;338796;307532;271734;241163;218577;197525;186968;167716;146803;114215;82205;59299;72099",,,,
" ""....Aklan"";612985;56731;59025;61231;57716;55483;50879;45503;40676;36030;30649;28425;24598;21008;16178;11763;8087;9003;311800;29275;30727;31769;29721;28831;26449;23776;21370;19027;15977;14522;12300;10086;7561;4867;2994;2548;301185;27456;28298;29462;27995;26652;24430;21727;19306;17003;14672;13903;12298;10922;8617;6896;5093;6455",,,,
" ""....Antique"";611478;61955;62332;61663;60744;53798;46827;42218;37358;34176;30504;28259;25435;21467;15986;11315;8158;9283;311752;31973;32294;31955;31323;28015;24549;22222;19749;18157;15996;14230;12667;10396;7358;4760;3142;2966;299726;29982;30038;29708;29421;25783;22278;19996;17609;16019;14508;14029;12768;11071;8628;6555;5016;6317",,,,
" ""....Capiz"";803879;73914;74989;76921;77690;74044;65711;57105;51054;47160;41627;39353;34915;29681;22640;15152;10409;11514;408201;38055;38796;40062;39725;38026;33988;30095;26944;24913;21747;19903;17542;14229;10362;6394;3922;3498;395678;35859;36193;36859;37965;36018;31723;27010;24110;22247;19880;19450;17373;15452;12278;8758;6487;8016",,,,
" ""....Guimaras"";187576;17749;18190;17810;16914;15980;15106;14172;12847;11234;9970;8866;8083;6920;5093;3502;2315;2825;96174;9177;9435;9139;8689;8398;7698;7355;6819;6083;5201;4589;4098;3486;2504;1575;965;963;91402;8572;8755;8671;8225;7582;7408;6817;6028;5151;4769;4277;3985;3434;2589;1927;1350;1862",,,,
" ""....Iloilo *"";2048039;186638;198335;201326;193780;176892;161304;149759;133513;121074;106080;98971;87513;74482;57109;40859;27755;32649;1042387;96340;103426;104344;100165;91409;83870;78456;70039;63923;55110;50472;43921;36095;26383;17269;10687;10478;1005652;90298;94909;96982;93615;85483;77434;71303;63474;57151;50970;48499;43592;38387;30726;23590;17068;22171",,,,
" ""....Negros Occidental *"";2618672;265646;279529;277991;260072;224217;206392;181446;159528;145139;132853;122452;108995;90307;66304;41579;28036;28186;1337724;137171;145269;143664;133621;115738;106624;95787;84600;76610;68336;62281;54750;43740;31060;18174;10850;9449;1280948;128475;134260;134327;126451;108479;99768;85659;74928;68529;64517;60171;54245;46567;35244;23405;17186;18737",,,,
" ""....City of Bacolod"";597615;54279;55170;55872;55429;54927;50345;45123;40913;37243;32529;29615;25168;21704;16213;10478;6192;6415;296351;28013;28747;28842;27687;27334;25309;22963;20849;18742;16279;14432;12068;9757;7000;4277;2216;1836;301264;26266;26423;27030;27742;27593;25036;22160;20064;18501;16250;15183;13100;11947;9213;6201;3976;4579",,,,
" ""....City of Iloilo"";455287;44702;42530;40026;38277;42349;39169;34973;31784;28523;23992;22214;19583;16511;12229;8099;4806;5520;225582;22877;21952;20643;19372;21143;19714;17911;16140;14547;12033;10758;9228;7488;5309;3226;1683;1558;229705;21825;20578;19383;18905;21206;19455;17062;15644;13976;11959;11456;10355;9023;6920;4873;3123;3962",,,,
" ""..REGION VII (CENTRAL VISAYAS)"";8046285;818141;830817;811557;777388;734870;688051;597437;519606;461649;404475;356375;311361;254829;189437;125864;82159;82269;4081138;423959;431637;419576;397400;373697;350216;308209;268314;237155;206045;179404;155191;123750;88553;55714;33456;28862;3965147;394182;399180;391981;379988;361173;337835;289228;251292;224494;198430;176971;156170;131079;100884;70150;48703;53407",,,,
" ""....Bohol"";1390524;132580;138284;141748;142232;116766;102699;93664;84031;78813;72768;66695;59376;50666;37716;28982;21348;22156;707896;68723;72209;73482;73397;60662;52944;48448;43577;40977;37547;33985;29846;24955;17716;12855;8718;7855;682628;63857;66075;68266;68835;56104;49755;45216;40454;37836;35221;32710;29530;25711;20000;16127;12630;14301",,,,
" ""....Cebu *"";3309850;354932;361115;343828;320928;297879;277627;241615;212166;187429;162226;141235;122830;100023;75654;49055;31204;30104;1685185;183887;187788;178283;165001;152643;141582;124679;109710;96621;83046;71498;61746;48753;35221;21781;12579;10367;1624665;171045;173327;165545;155927;145236;136045;116936;102456;90808;79180;69737;61084;51270;40433;27274;18625;19737",,,,
" ""....Negros Oriental"";1428548;144362;148048;145488;138440;124817;116878;100381;86644;77278;71501;65958;61444;50591;38906;24382;16122;17308;726883;74867;76626;74887;70409;63566;60130;52646;45350;40042;36437;32931;30698;24788;18836;11129;6930;6611;701665;69495;71422;70601;68031;61251;56748;47735;41294;37236;35064;33027;30746;25803;20070;13253;9192;10697",,,,
" ""....Siquijor"";103014;8037;9044;9237;9453;8235;7797;7230;6730;6305;5950;5498;4936;4285;3466;2562;2076;2173;51916;4156;4589;4769;4841;4242;3998;3680;3474;3265;3051;2871;2484;2077;1673;1115;887;744;51098;3881;4455;4468;4612;3993;3799;3550;3256;3040;2899;2627;2452;2208;1793;1447;1189;1429",,,,
" ""....City of Cebu"";958626;95344;92113;89791;89437;98691;93898;78195;65268;56277;47881;41703;35312;28542;19943;12521;6978;6732;478858;49130;47631;46233;44902;48629;47304;39997;33302;28411;23794;20320;17036;13246;8922;5295;2641;2065;479768;46214;44482;43558;44535;50062;46594;38198;31966;27866;24087;21383;18276;15296;11021;7226;4337;4667",,,,
" ""....City of Lapu-Lapu (Opon)"";494672;50673;50670;50092;45046;49598;49997;43764;37509;31968;24736;19093;14468;11014;7296;4538;2348;1862;247486;26305;26326;25821;22730;24483;24298;21767;18878;15927;12334;9599;7068;5280;3291;1910;881;588;247186;24368;24344;24271;22316;25115;25699;21997;18631;16041;12402;9494;7400;5734;4005;2628;1467;1274",,,,
" ""....City of Mandaue"";361051;32213;31543;31373;31852;38884;39155;32588;27258;23579;19413;16193;12995;9708;6456;3824;2083;1934;182914;16891;16468;16101;16120;19472;19960;16992;14023;11912;9836;8200;6313;4651;2894;1629;820;632;178137;15322;15075;15272;15732;19412;19195;15596;13235;11667;9577;7993;6682;5057;3562;2195;1263;1302",,,,
" ""..REGION VIII (EASTERN VISAYAS)"";4531512;475606;499076;497039;477859;403189;337361;290155;258744;244033;222459;205219;177439;149825;110013;80028;53046;50421;2321372;245923;259378;257290;245200;208547;174454;151879;135843;127667;115874;105425;90841;74938;52604;35739;21907;17863;2210140;229683;239698;239749;232659;194642;162907;138276;122901;116366;106585;99794;86598;74887;57409;44289;31139;32558",,,,
" ""....Biliran"";178715;18056;20361;20126;18496;14982;12720;10894;9969;9499;8903;8460;7385;6123;4691;3478;2276;2296;91058;9417;10573;10468;9575;7688;6560;5649;5192;4880;4649;4274;3705;3040;2181;1540;893;774;87657;8639;9788;9658;8921;7294;6160;5245;4777;4619;4254;4186;3680;3083;2510;1938;1383;1522",,,,
" ""....Eastern Samar"";475847;47664;50770;52123;51897;43768;35190;29981;26550;25251;23509;21557;18415;15532;11549;8982;6466;6643;246328;24738;26335;26933;26864;22921;18438;15982;14145;13428;12403;11234;9742;7872;5714;4265;2872;2442;229519;22926;24435;25190;25033;20847;16752;13999;12405;11823;11106;10323;8673;7660;5835;4717;3594;4201",,,,
" ""....Leyte *"";1771011;186812;192954;191067;177421;150924;133575;117942;104739;97533;86880;80595;71729;61925;45664;31940;20163;19148;907015;96417;100273;99122;90802;77982;68811;61664;55407;51410;45308;41255;36860;30963;21858;14249;8121;6513;863996;90395;92681;91945;86619;72942;64764;56278;49332;46123;41572;39340;34869;30962;23806;17691;12042;12635",,,,
" ""....Northern Samar"";636995;71148;76340;76316;74004;59070;45178;37868;33405;31795;29776;26447;21919;17804;13272;9782;6878;5993;326304;36738;39560;39448;38072;30856;23503;19887;17504;16422;15311;13580;10960;8845;6264;4342;2816;2196;310691;34410;36780;36868;35932;28214;21675;17981;15901;15373;14465;12867;10959;8959;7008;5440;4062;3797",,,,
" ""....Samar (Western Samar)"";791045;85393;90700;89209;89008;73724;58912;47203;42464;40929;39075;35089;28929;23899;17154;12744;8753;7860;406789;44028;47145;45907;45527;38132;30755;24949;22226;21538;20518;18306;15026;12129;8336;5580;3708;2979;384256;41365;43555;43302;43481;35592;28157;22254;20238;19391;18557;16783;13903;11770;8818;7164;5045;4881",,,,
" ""....Southern Leyte"";428484;39629;41193;43526;42824;35568;30268;28114;25680;25160;22284;22229;19635;16924;12571;9688;6513;6678;218053;20710;21596;22668;22102;18302;15471;14478;13103;12909;11595;11394;9885;8412;5963;4352;2716;2397;210431;18919;19597;20858;20722;17266;14797;13636;12577;12251;10689;10835;9750;8512;6608;5336;3797;4281",,,,
" ""....City of Tacloban"";249415;26904;26758;24672;24209;25153;21518;18153;15937;13866;12032;10842;9427;7618;5112;3414;1997;1803;125825;13875;13896;12744;12258;12666;10916;9270;8266;7080;6090;5382;4663;3677;2288;1411;781;562;123590;13029;12862;11928;11951;12487;10602;8883;7671;6786;5942;5460;4764;3941;2824;2003;1216;1241",,,,
" ""..REGION IX (ZAMBOANGA PENINSULA)"";3862588;426337;442916;426881;396373;352878;311168;264437;228066;210498;186783;165651;139240;113784;82846;51947;31773;31010;1966201;218870;228622;218525;201572;179142;158932;136875;118530;109718;95991;84151;70798;56128;39932;23330;13469;11616;1896387;207467;214294;208356;194801;173736;152236;127562;109536;100780;90792;81500;68442;57656;42914;28617;18304;19394",,,,
" ""....Zamboanga del Norte"";1046017;120426;120246;115252;107041;91948;79620;67983;59352;54920;51134;46059;39528;32276;24213;15536;10492;9991;536041;62002;62380;59270;54855;46938;41104;35593;31138;28742;26399;23664;20433;16169;11774;7151;4605;3824;509976;58424;57866;55982;52186;45010;38516;32390;28214;26178;24735;22395;19095;16107;12439;8385;5887;6167",,,,
" ""....Zamboanga del Sur *"";1048402;117601;120193;117276;108809;93857;83996;71213;59692;56239;49795;44595;38565;31652;22713;14221;8814;9171;535265;60137;61990;60014;55408;47830;43069;37246;31475;29799;25818;22663;19589;15673;10865;6419;3733;3537;513137;57464;58203;57262;53401;46027;40927;33967;28217;26440;23977;21932;18976;15979;11848;7802;5081;5634",,,,
" ""....Zamboanga Sibugay"";668648;72706;80830;78633;71144;58141;52943;45746;38984;35498;31444;28311;23316;18900;13524;8367;5182;4979;342356;37576;41754;40239;36277;29498;26900;23725;20368;18731;16368;14573;11971;9494;6724;3840;2292;2026;326292;35130;39076;38394;34867;28643;26043;22021;18616;16767;15076;13738;11345;9406;6800;4527;2890;2953",,,,
" ""....City of Isabela **"";130130;16709;15678;14746;13411;12817;10607;8894;7555;6661;5776;4965;3958;3105;2319;1428;735;766;65458;8700;8067;7494;6656;6471;5262;4475;3705;3373;2856;2558;2037;1504;1118;639;296;247;64672;8009;7611;7252;6755;6346;5345;4419;3850;3288;2920;2407;1921;1601;1201;789;439;519",,,,
" ""....City of Zamboanga"";969391;98895;105969;100974;95968;96115;84002;70601;62483;57180;48634;41721;33873;27851;20077;12395;6550;6103;487081;50455;54431;51508;48376;48405;42597;35836;31844;29073;24550;20693;16768;13288;9451;5281;2543;1982;482310;48440;51538;49466;47592;47710;41405;34765;30639;28107;24084;21028;17105;14563;10626;7114;4007;4121",,,,
" ""..REGION X (NORTHERN MINDANAO)"";5007798;546295;567054;541787;501159;453277;415346;364653;306012;278384;241383;214965;182473;148102;105198;64739;38337;38634;2554944;281472;293294;278695;254943;230324;212798;190277;159554;144581;124356;108799;92030;73103;50842;29749;16130;13997;2452854;264823;273760;263092;246216;222953;202548;174376;146458;133803;117027;106166;90443;74999;54356;34990;22207;24637",,,,
" ""....Bukidnon"";1537629;170498;185288;175390;157284;137550;127764;114155;93764;83418;71132;62010;52092;41778;28333;16883;10025;10265;798656;88353;95683;90325;80861;70877;67148;60849;50224;44606;37576;32230;27097;21398;14330;8355;4628;4116;738973;82145;89605;85065;76423;66673;60616;53306;43540;38812;33556;29780;24995;20380;14003;8528;5397;6149",,,,
" ""....Camiguin"";92696;8900;10043;9708;9104;7407;6626;5846;5399;5203;4891;4799;4257;3363;2552;1865;1322;1411;47131;4609;5193;5063;4646;3831;3314;3047;2820;2730;2490;2446;2179;1696;1222;835;535;475;45565;4291;4850;4645;4458;3576;3312;2799;2579;2473;2401;2353;2078;1667;1330;1030;787;936",,,,
" ""....Lanao del Norte *"";721716;89818;92406;86380;77378;67926;59936;49458;41258;36459;30494;26039;20413;16474;11709;7443;3997;4128;362139;45841;46758;43577;38426;33622;29444;25147;21005;18650;15587;13066;10434;8224;5645;3439;1716;1558;359577;43977;45648;42803;38952;34304;30492;24311;20253;17809;14907;12973;9979;8250;6064;4004;2281;2570",,,,
" ""....Misamis Occidental"";614951;60324;62220;62050;60305;52922;46899;41593;36189;35244;32847;31009;26925;22547;16914;11497;7759;7707;310907;30890;32349;32035;30820;27058;24020;21548;18733;18316;16827;15728;13416;10828;7814;4933;3036;2556;304044;29434;29871;30015;29485;25864;22879;20045;17456;16928;16020;15281;13509;11719;9100;6564;4723;5151",,,,
" ""....Misamis Oriental *"";954953;106534;107947;102942;94822;82854;76091;68842;57613;52678;45763;41970;36784;29590;21384;13159;7850;8130;489483;54814;56462;53314;48807;42849;39396;36056;30202;27341;23551;21117;18466;14589;10426;5959;3239;2895;465470;51720;51485;49628;46015;40005;36695;32786;27411;25337;22212;20853;18318;15001;10958;7200;4611;5235",,,,
" ""....City of Cagayan de Oro"";723671;71238;70684;67882;65712;70707;67243;59278;49642;44938;38163;32929;27697;22784;16219;9178;4832;4545;364706;36791;36721;34970;33079;35134;34012;30619;25428;22764;19330;16357;13494;10791;7543;4151;1963;1559;358965;34447;33963;32912;32633;35573;33231;28659;24214;22174;18833;16572;14203;11993;8676;5027;2869;2986",,,,
" ""....City of Iligan"";362182;38983;38466;37435;36554;33911;30787;25481;22147;20444;18093;16209;14305;11566;8087;4714;2552;2448;181922;20174;20128;19411;18304;16953;15464;13011;11142;10174;8995;7855;6944;5577;3862;2077;1013;838;180260;18809;18338;18024;18250;16958;15323;12470;11005;10270;9098;8354;7361;5989;4225;2637;1539;1610",,,,
" ""..REGION XI (DAVAO REGION)"";5223802;541966;551361;543958;497777;472920;442420;405656;342357;308114;266089;231429;192933;162164;114505;70747;40265;39141;2678976;279253;284764;280041;253840;240275;227730;212934;180454;162561;138829;118512;97794;80580;55408;33105;17678;15218;2544826;262713;266597;263917;243937;232645;214690;192722;161903;145553;127260;112917;95139;81584;59097;37642;22587;23923",,,,
" ""....Davao de Oro (Compostela Valley)"";766299;78742;84120;83387;78995;65437;62856;57963;47953;42570;38446;35369;28834;23467;16025;9962;6154;6019;400687;40754;43504;43374;40818;33833;33023;31301;25967;23222;20503;18874;15142;12251;8015;4833;2823;2450;365612;37988;40616;40013;38177;31604;29833;26662;21986;19348;17943;16495;13692;11216;8010;5129;3331;3569",,,,
" ""....Davao del Norte"";1115167;117968;118048;114201;104177;97519;93939;88312;75300;67172;56298;49108;41364;35177;24914;14988;8636;8046;570660;60695;60662;58807;53249;49296;48041;45787;39388;35196;29133;25117;20992;17533;12349;7276;3900;3239;544507;57273;57386;55394;50928;48223;45898;42525;35912;31976;27165;23991;20372;17644;12565;7712;4736;4807",,,,
" ""....Davao del Sur *"";679457;70489;69219;70279;62235;59195;55537;52399;44248;40310;35193;31235;27087;23463;16638;10398;5729;5803;348739;36320;36051;36156;31833;30305;28615;27619;23275;21380;18496;15818;13635;11694;7938;4830;2532;2242;330718;34169;33168;34123;30402;28890;26922;24780;20973;18930;16697;15417;13452;11769;8700;5568;3197;3561",,,,
" ""....Davao Occidental"";316907;38121;39373;38761;31969;26767;23679;21848;18499;16860;15533;12662;10323;8706;5876;3542;1955;2433;164321;19613;20129;19744;16340;13886;12381;11794;10043;9000;8284;6574;5590;4400;2934;1706;899;1004;152586;18508;19244;19017;15629;12881;11298;10054;8456;7860;7249;6088;4733;4306;2942;1836;1056;1429",,,,
" ""....Davao Oriental"";574984;59339;64443;64640;58727;50134;43254;39477;33234;31758;29504;26855;22762;18565;13140;8676;5220;5256;297105;30648;33104;33179;29871;25876;22716;20930;18019;17127;15600;13966;11746;9401;6378;4135;2334;2075;277879;28691;31339;31461;28856;24258;20538;18547;15215;14631;13904;12889;11016;9164;6762;4541;2886;3181",,,,
" ""....City of Davao"";1770988;177307;176158;172690;161674;173868;163155;145657;123123;109444;91115;76200;62563;52786;37912;23181;12571;11584;897464;91223;91314;88781;81729;87079;82954;75503;63762;56636;46813;38163;30689;25301;17794;10325;5190;4208;873524;86084;84844;83909;79945;86789;80201;70154;59361;52808;44302;38037;31874;27485;20118;12856;7381;7376",,,,
" ""..REGION XII (SOCCSKSARGEN)"";4351773;470229;491209;477818;441426;401821;365138;324069;276166;249897;215929;184358;146025;115625;81282;50680;30309;29792;2225425;242299;254016;245381;224092;204828;187353;169260;143992;130658;112376;95022;74301;57061;38858;22719;12425;10784;2126348;227930;237193;232437;217334;196993;177785;154809;132174;119239;103553;89336;71724;58564;42424;27961;17884;19008",,,,
" ""....Cotabato (North Cotabato)"";1273594;133770;145175;141983;129362;111947;103607;93164;80130;72339;63413;55740;44849;36238;25874;16176;9899;9928;652626;69113;75024;73264;66001;57587;52997;48829;41702;37919;33067;28740;22791;17956;12433;7324;4129;3750;620968;64657;70151;68719;63361;54360;50610;44335;38428;34420;30346;27000;22058;18282;13441;8852;5770;6178",,,,
" ""....Sarangani"";558069;64989;66801;64498;59084;51538;46011;39592;33812;30148;26700;21972;17369;13518;9355;5791;3524;3367;288722;33381;34417;32953;30137;26647;23944;21147;18006;16083;13989;11612;9045;6921;4737;2732;1597;1374;269347;31608;32384;31545;28947;24891;22067;18445;15806;14065;12711;10360;8324;6597;4618;3059;1927;1993",,,,
" ""....South Cotabato *"";973146;104601;106723;104586;96237;87933;81991;73559;62612;58006;48939;41645;33420;26965;19268;12041;7449;7171;496628;53778;55363;53748;49122;44608;42208;38515;32808;30310;25421;21395;16837;13074;8926;5217;2888;2410;476518;50823;51360;50838;47115;43325;39783;35044;29804;27696;23518;20250;16583;13891;10342;6824;4561;4761",,,,
" ""....Sultan Kudarat"";851554;94981;98354;95760;91007;81129;70898;62278;52509;46940;40499;34207;26326;20979;14809;9593;5537;5748;435228;48827;50672;49022;45920;41113;36334;32155;27305;24693;21398;17930;13733;10416;7092;4366;2236;2016;416326;46154;47682;46738;45087;40016;34564;30123;25204;22247;19101;16277;12593;10563;7717;5227;3301;3732",,,,
" ""....City of General Santos (Dadiangas)"";695410;71888;74156;70991;65736;69274;62631;55476;47103;42464;36378;30794;24061;17925;11976;7079;3900;3578;352221;37200;38540;36394;32912;34873;31870;28614;24171;21653;18501;15345;11895;8694;5670;3080;1575;1234;343189;34688;35616;34597;32824;34401;30761;26862;22932;20811;17877;15449;12166;9231;6306;3999;2325;2344",,,,
" ""..REGION XIII (CARAGA)"";2795340;284914;316589;306231;289362;248386;222420;197303;166443;149865;136240;125143;108697;88176;62291;41045;26725;25510;1434391;147516;164108;157981;148472;127578;115273;104122;88296;78560;70591;63964;54822;43706;29984;18574;11222;9622;1360949;137398;152481;148250;140890;120808;107147;93181;78147;71305;65649;61179;53875;44470;32307;22471;15503;15888",,,,
" ""....Agusan del Norte *"";386211;38481;43830;43224;39647;33946;30102;27653;22897;20543;18443;17321;15412;12741;9122;5637;3551;3661;197983;19848;22805;22455;20306;17426;15530;14561;12076;10746;9437;8826;7728;6302;4417;2611;1478;1431;188228;18633;21025;20769;19341;16520;14572;13092;10821;9797;9006;8495;7684;6439;4705;3026;2073;2230",,,,
" ""....Agusan del Sur"";737991;81142;91104;86720;77631;62610;58780;52190;43045;37694;34391;31215;26645;21102;14082;8883;5551;5206;383294;42070;47137;44831;39904;32276;30650;28118;23247;20170;18261;16278;13822;10753;7029;4199;2417;2132;354697;39072;43967;41889;37727;30334;28130;24072;19798;17524;16130;14937;12823;10349;7053;4684;3134;3074",,,,
" ""....Dinagat Islands"";127963;12990;14003;13609;13286;11314;9913;8354;7020;6330;6180;5815;5068;4329;3441;2626;1898;1787;65198;6683;7163;7040;6902;5736;5101;4368;3708;3376;3160;2947;2527;2078;1649;1146;858;756;62765;6307;6840;6569;6384;5578;4812;3986;3312;2954;3020;2868;2541;2251;1792;1480;1040;1031",,,,
" ""....Surigao del Norte"";531753;51527;56016;54200;55969;50122;42360;37353;32583;29971;27332;24415;21025;16950;12150;8332;6047;5401;270613;26720;28972;28016;28668;25857;21984;19442;17134;15491;14040;12270;10426;8250;5579;3547;2375;1842;261140;24807;27044;26184;27301;24265;20376;17911;15449;14480;13292;12145;10599;8700;6571;4785;3672;3559",,,,
" ""....Surigao del Sur"";640512;66385;72467;69334;65126;56069;50140;43977;37964;34018;31159;29021;25619;21110;15209;10041;6511;6362;329299;34342;37690;35554;33439;28986;26111;23405;20292;17836;16099;14932;12929;10506;7435;4635;2790;2318;311213;32043;34777;33780;31687;27083;24029;20572;17672;16182;15060;14089;12690;10604;7774;5406;3721;4044",,,,
" ""....City of Butuan"";370910;34389;39169;39144;37703;34325;31125;27776;22934;21309;18735;17356;14928;11944;8287;5526;3167;3093;188004;17853;20341;20085;19253;17297;15897;14228;11839;10941;9594;8711;7390;5817;3875;2436;1304;1143;182906;16536;18828;19059;18450;17028;15228;13548;11095;10368;9141;8645;7538;6127;4412;3090;1863;1950",,,,
" ""..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)"";4938539;740873;671706;632379;548372;487216;414333;325061;282881;244319;195488;138449;90806;65967;46430;26794;13857;13608;2474905;378821;339985;317973;273425;239268;199809;159142;137141;122578;99861;73677;48317;34547;23732;13717;6820;6092;2463634;362052;331721;314406;274947;247948;214524;165919;145740;121741;95627;64772;42489;31420;22698;13077;7037;7516",,,,
" ""....Basilan"";425111;63979;61636;56582;45050;40105;34417;27226;23655;19508;16292;12212;8616;6256;4528;2411;1320;1318;213101;32675;31474;28765;22732;19710;16688;13222;11371;9670;8305;6329;4460;3172;2218;1170;605;535;212010;31304;30162;27817;22318;20395;17729;14004;12284;9838;7987;5883;4156;3084;2310;1241;715;783",,,,
" ""....Lanao del Sur"";1194507;182925;160576;156233;137554;123810;101418;75871;63633;55861;44624;32651;20800;15346;10967;5999;3125;3114;590514;92535;80242;77105;67541;59822;48460;36560;30804;27422;22367;16806;11006;7978;5631;3124;1633;1478;603993;90390;80334;79128;70013;63988;52958;39311;32829;28439;22257;15845;9794;7368;5336;2875;1492;1636",,,,
" ""....Maguindanao"";1666353;261467;229074;213573;174693;160892;138580;113999;97176;84524;64490;45598;29769;21450;14021;8421;4275;4351;845171;135552;117084;108404;88482;79941;67472;56411;47340;43103;33424;24766;16181;11302;7377;4323;2093;1916;821182;125915;111990;105169;86211;80951;71108;57588;49836;41421;31066;20832;13588;10148;6644;4098;2182;2435",,,,
" ""....Sulu"";998675;130431;135390;130518;122121;100731;84344;62854;58477;50591;42671;28650;18751;13046;9290;5469;2727;2614;496002;65509;67916;65431;60204;49096;40196;30674;28170;25322;21620;15318;9731;6956;4581;2805;1293;1180;502673;64922;67474;65087;61917;51635;44148;32180;30307;25269;21051;13332;9020;6090;4709;2664;1434;1434",,,,
" ""....Tawi-Tawi"";438545;69205;57811;51303;46037;39149;36066;30121;27751;23614;19288;13179;8890;6326;4795;2628;1324;1058;221374;35669;29317;25809;23097;19538;17217;14744;13437;11908;10043;7227;4815;3413;2578;1395;688;479;217171;33536;28494;25494;22940;19611;18849;15377;14314;11706;9245;5952;4075;2913;2217;1233;636;579",,,,
" ""....Eight (8) Area Clusters ***"";215348;32866;27219;24170;22917;22529;19508;14990;12189;10221;8123;6159;3980;3543;2829;1866;1086;1153;108743;16881;13952;12459;11369;11161;9776;7531;6019;5153;4102;3231;2124;1726;1347;900;508;504;106605;15985;13267;11711;11548;11368;9732;7459;6170;5068;4021;2928;1856;1817;1482;966;578;649",,,,
