"Occupied Housing Units, Number of Households, Household Population, by Type of Building and Province/Highly Urbanized City: Philippines, 2020"
"Commercial/industrial/agricultural";"....Albay";269;274;910
"Commercial/industrial/agricultural";"....Camarines Norte";236;245;903
"Commercial/industrial/agricultural";"....Camarines Sur";609;626;2176
"Commercial/industrial/agricultural";"....Catanduanes";76;79;306
"Commercial/industrial/agricultural";"....Masbate";137;138;554
"Commercial/industrial/agricultural";"....Sorsogon";171;173;599
"Commercial/industrial/agricultural";"..REGION VI (WESTERN VISAYAS)";1945;2009;6736
"Commercial/industrial/agricultural";"....Aklan";249;252;885
"Commercial/industrial/agricultural";"....Antique";123;123;462
"Commercial/industrial/agricultural";"....Capiz";106;108;394
"Commercial/industrial/agricultural";"....Guimaras";57;57;208
"Commercial/industrial/agricultural";"....Iloilo *";283;288;862
"Commercial/industrial/agricultural";"....Negros Occidental *";363;375;1227
"Commercial/industrial/agricultural";"....City of Bacolod";372;394;1279
"Commercial/industrial/agricultural";"....City of Iloilo";392;412;1419
"Commercial/industrial/agricultural";"..REGION VII (CENTRAL VISAYAS)";1910;2120;5788
"Commercial/industrial/agricultural";"....Bohol";269;270;934
"Commercial/industrial/agricultural";"....Cebu *";541;624;1579
"Commercial/industrial/agricultural";"....Negros Oriental";236;239;863
"Commercial/industrial/agricultural";"....Siquijor";35;35;105
"Commercial/industrial/agricultural";"....City of Cebu";431;500;1299
"Commercial/industrial/agricultural";"....City of Lapu-Lapu (Opon)";136;149;404
"Commercial/industrial/agricultural";"....City of Mandaue";262;303;604
"Commercial/industrial/agricultural";"..REGION VIII (EASTERN VISAYAS)";860;888;3191
"Commercial/industrial/agricultural";"....Biliran";45;49;145
"Commercial/industrial/agricultural";"....Eastern Samar";47;47;177
"Commercial/industrial/agricultural";"....Leyte *";306;307;1059
"Commercial/industrial/agricultural";"....Northern Samar";80;84;340
"Commercial/industrial/agricultural";"....Samar (Western Samar)";81;84;344
"Commercial/industrial/agricultural";"....Southern Leyte";111;113;411
"Commercial/industrial/agricultural";"....City of Tacloban";190;204;715
"Commercial/industrial/agricultural";"..REGION IX (ZAMBOANGA PENINSULA)";994;1032;3821
"Commercial/industrial/agricultural";"....Zamboanga del Norte";159;160;620
"Commercial/industrial/agricultural";"....Zamboanga del Sur *";240;250;958
"Commercial/industrial/agricultural";"....Zamboanga Sibugay";326;332;1136
"Commercial/industrial/agricultural";"....City of Isabela **";16;19;70
"Commercial/industrial/agricultural";"....City of Zamboanga";253;271;1037
"Commercial/industrial/agricultural";"..REGION X (NORTHERN MINDANAO)";1680;1754;5918
"Commercial/industrial/agricultural";"....Bukidnon";546;558;2021
"Commercial/industrial/agricultural";"....Camiguin";26;26;64
"Commercial/industrial/agricultural";"....Lanao del Norte *";182;193;797
"Commercial/industrial/agricultural";"....Misamis Occidental";96;100;356
"Commercial/industrial/agricultural";"....Misamis Oriental *";221;228;756
"Commercial/industrial/agricultural";"....City of Cagayan de Oro";434;470;1267
"Commercial/industrial/agricultural";"....City of Iligan";175;179;657
"Commercial/industrial/agricultural";"..REGION XI (DAVAO REGION)";2109;2275;6292
"Commercial/industrial/agricultural";"....Davao de Oro (Compostela Valley)";276;285;976
"Commercial/industrial/agricultural";"....Davao del Norte";381;389;1341
"Commercial/industrial/agricultural";"....Davao del Sur *";146;147;448
"Commercial/industrial/agricultural";"....Davao Occidental";25;27;72
"Commercial/industrial/agricultural";"....Davao Oriental";76;82;288
"Commercial/industrial/agricultural";"....City of Davao";1205;1345;3167
"Commercial/industrial/agricultural";"..REGION XII (SOCCSKSARGEN)";1132;1161;3957
"Commercial/industrial/agricultural";"....Cotabato (North Cotabato)";340;341;1230
"Commercial/industrial/agricultural";"....Sarangani";50;55;177
"Commercial/industrial/agricultural";"....South Cotabato *";272;282;946
"Commercial/industrial/agricultural";"....Sultan Kudarat";225;230;821
"Commercial/industrial/agricultural";"....City of General Santos (Dadiangas)";245;253;783
"Commercial/industrial/agricultural";"..REGION XIII (CARAGA)";714;731;2351
"Commercial/industrial/agricultural";"....Agusan del Norte *";63;64;203
"Commercial/industrial/agricultural";"....Agusan del Sur";174;176;618
"Commercial/industrial/agricultural";"....Dinagat Islands";24;24;78
"Commercial/industrial/agricultural";"....Surigao del Norte";103;103;291
"Commercial/industrial/agricultural";"....Surigao del Sur";125;133;442
"Commercial/industrial/agricultural";"....City of Butuan";225;231;719
"Commercial/industrial/agricultural";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)";529;570;2870
"Commercial/industrial/agricultural";"....Basilan";10;10;64
"Commercial/industrial/agricultural";"....Lanao del Sur";69;92;580
"Commercial/industrial/agricultural";"....Maguindanao";369;376;1707
"Commercial/industrial/agricultural";"....Sulu";44;45;282
"Commercial/industrial/agricultural";"....Tawi-Tawi";28;38;209
"Commercial/industrial/agricultural";"....Eight (8) Area Clusters ***";9;9;28
"Institutional living quarter";"PHILIPPINES";3424;3644;11768
"Institutional living quarter";"..NATIONAL CAPITAL REGION (NCR)";658;722;2059
"Institutional living quarter";"....City of Manila";188;209;545
"Institutional living quarter";"....City of Mandaluyong";23;23;78
"Institutional living quarter";"....City of Marikina";23;23;83
"Institutional living quarter";"....City of Pasig";21;21;71
"Institutional living quarter";"....Quezon City";162;173;467
"Institutional living quarter";"....City of San Juan";5;7;11
"Institutional living quarter";"....City of Caloocan";34;38;132
"Institutional living quarter";"....City of Malabon";6;6;21
"Institutional living quarter";"....City of Navotas";9;9;29
"Institutional living quarter";"....City of Valenzuela";48;60;174
"Institutional living quarter";"....City of Las Piñas";37;37;153
"Institutional living quarter";"....City of Makati";26;26;62
"Institutional living quarter";"....City of Muntinlupa";5;5;27
"Institutional living quarter";"....City of Parañaque";38;46;83
"Institutional living quarter";"....Pasay City";9;12;27
"Institutional living quarter";"....City of Taguig";23;26;95
"Institutional living quarter";"....Pateros";1;1;1
"Institutional living quarter";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";65;73;214
"Institutional living quarter";"....Abra";7;11;29
"Institutional living quarter";"....Apayao";1;1;9
"Institutional living quarter";"....Benguet *";14;14;23
"Institutional living quarter";"....Ifugao";0;0;0
"Institutional living quarter";"....Kalinga";4;4;12
"Institutional living quarter";"....Mountain Province";11;11;46
"Institutional living quarter";"....City of Baguio";28;32;95
"Institutional living quarter";"..REGION I (ILOCOS REGION)";112;117;423
"Institutional living quarter";"....Ilocos Norte";15;15;61
"Institutional living quarter";"....Ilocos Sur";14;14;52
"Institutional living quarter";"....La Union";45;50;177
"Institutional living quarter";"....Pangasinan";38;38;133
"Institutional living quarter";"..REGION II (CAGAYAN VALLEY)";64;64;228
"Institutional living quarter";"....Batanes";5;5;12
"Institutional living quarter";"....Cagayan";28;28;114
"Institutional living quarter";"....Isabela";21;21;66
"Institutional living quarter";"....Nueva Vizcaya";10;10;36
"Institutional living quarter";"....Quirino";0;0;0
"Institutional living quarter";"..REGION III (CENTRAL LUZON)";344;352;1278
"Institutional living quarter";"....Aurora";16;16;77
"Institutional living quarter";"....Bataan";24;24;89
"Institutional living quarter";"....Bulacan";148;156;553
"Institutional living quarter";"....Nueva Ecija";46;46;155
"Institutional living quarter";"....Pampanga *";46;46;168
"Institutional living quarter";"....Tarlac";22;22;82
"Institutional living quarter";"....Zambales *";25;25;89
"Institutional living quarter";"....City of Angeles";9;9;30
"Institutional living quarter";"....City of Olongapo";8;8;35
"Institutional living quarter";"..REGION IV-A (CALABARZON)";322;333;1112
"Institutional living quarter";"....Batangas";67;71;224
"Institutional living quarter";"....Cavite";93;96;330
"Institutional living quarter";"....Laguna";47;51;186
"Institutional living quarter";"....Quezon *";39;39;119
"Institutional living quarter";"....Rizal";73;73;238
"Institutional living quarter";"....City of Lucena";3;3;15
"Institutional living quarter";"..MIMAROPA REGION";146;154;383
"Institutional living quarter";"....Marinduque";5;5;21
"Institutional living quarter";"....Occidental Mindoro";7;7;17
"Institutional living quarter";"....Oriental Mindoro";31;31;90
"Institutional living quarter";"....Palawan *";49;50;135
"Institutional living quarter";"....Romblon";11;11;32
"Institutional living quarter";"....City of Puerto Princesa";43;50;88
"Institutional living quarter";"..REGION V (BICOL REGION)";198;243;930
"Institutional living quarter";"....Albay";57;102;401
"Institutional living quarter";"....Camarines Norte";9;9;35
"Institutional living quarter";"....Camarines Sur";46;46;192
"Institutional living quarter";"....Catanduanes";57;57;203
"Institutional living quarter";"....Masbate";11;11;38
"Institutional living quarter";"....Sorsogon";18;18;61
"Institutional living quarter";"..REGION VI (WESTERN VISAYAS)";225;231;765
"Institutional living quarter";"....Aklan";38;40;146
"Institutional living quarter";"....Antique";15;15;57
"Institutional living quarter";"....Capiz";10;10;31
"Institutional living quarter";"....Guimaras";1;1;2
"Institutional living quarter";"....Iloilo *";55;57;205
"Institutional living quarter";"....Negros Occidental *";35;35;95
"Institutional living quarter";"....City of Bacolod";42;44;99
"Institutional living quarter";"....City of Iloilo";29;29;130
"Institutional living quarter";"..REGION VII (CENTRAL VISAYAS)";250;262;852
"Institutional living quarter";"....Bohol";65;67;252
"Institutional living quarter";"....Cebu *";58;61;231
"Institutional living quarter";"....Negros Oriental";39;42;148
"Institutional living quarter";"....Siquijor";2;2;2
"Institutional living quarter";"....City of Cebu";72;75;172
"Institutional living quarter";"....City of Lapu-Lapu (Opon)";10;11;35
"Institutional living quarter";"....City of Mandaue";4;4;12
"Institutional living quarter";"..REGION VIII (EASTERN VISAYAS)";88;97;310
"Institutional living quarter";"....Biliran";1;3;8
"Institutional living quarter";"....Eastern Samar";5;5;11
"Institutional living quarter";"....Leyte *";31;35;96
"Institutional living quarter";"....Northern Samar";20;20;89
"Institutional living quarter";"....Samar (Western Samar)";12;15;45
"Institutional living quarter";"....Southern Leyte";12;12;33
"Institutional living quarter";"....City of Tacloban";7;7;28
"Institutional living quarter";"..REGION IX (ZAMBOANGA PENINSULA)";145;145;562
"Institutional living quarter";"....Zamboanga del Norte";24;24;72
"Institutional living quarter";"....Zamboanga del Sur *";53;53;250
"Institutional living quarter";"....Zamboanga Sibugay";34;34;114
"Institutional living quarter";"....City of Isabela **";1;1;5
"Institutional living quarter";"....City of Zamboanga";33;33;121
"Institutional living quarter";"..REGION X (NORTHERN MINDANAO)";153;160;521
"Institutional living quarter";"....Bukidnon";52;57;194
"Institutional living quarter";"....Camiguin";4;4;24
"Institutional living quarter";"....Lanao del Norte *";12;13;52
"Institutional living quarter";"....Misamis Occidental";11;11;39
"Institutional living quarter";"....Misamis Oriental *";24;25;78
"Institutional living quarter";"....City of Cagayan de Oro";41;41;112
"Institutional living quarter";"....City of Iligan";9;9;22
"Institutional living quarter";"..REGION XI (DAVAO REGION)";334;344;877
"Institutional living quarter";"....Davao de Oro (Compostela Valley)";28;29;78
"Institutional living quarter";"....Davao del Norte";66;68;278
"Institutional living quarter";"....Davao del Sur *";14;14;42
"Institutional living quarter";"....Davao Occidental";15;15;25
"Institutional living quarter";"....Davao Oriental";33;33;112
"Institutional living quarter";"....City of Davao";178;185;342
"Institutional living quarter";"..REGION XII (SOCCSKSARGEN)";118;123;326
"Institutional living quarter";"....Cotabato (North Cotabato)";23;23;65
"Institutional living quarter";"....Sarangani";9;9;31
"Institutional living quarter";"....South Cotabato *";6;6;15
"Institutional living quarter";"....Sultan Kudarat";72;77;198
"Institutional living quarter";"....City of General Santos (Dadiangas)";8;8;17
"Institutional living quarter";"..REGION XIII (CARAGA)";119;130;411
"Institutional living quarter";"....Agusan del Norte *";2;2;7
"Institutional living quarter";"....Agusan del Sur";33;39;129
"Institutional living quarter";"....Dinagat Islands";2;2;4
"Institutional living quarter";"....Surigao del Norte";10;10;33
"Institutional living quarter";"....Surigao del Sur";13;13;40
"Institutional living quarter";"....City of Butuan";59;64;198
"Institutional living quarter";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)";83;94;517
"Institutional living quarter";"....Basilan";2;5;34
"Institutional living quarter";"....Lanao del Sur";16;21;130
"Institutional living quarter";"....Maguindanao";37;37;202
"Institutional living quarter";"....Sulu";21;24;113
"Institutional living quarter";"....Tawi-Tawi";6;6;35
"Institutional living quarter";"....Eight (8) Area Clusters ***";1;1;3
"Other types of building";"PHILIPPINES";1674;1869;5773
"Other types of building";"..NATIONAL CAPITAL REGION (NCR)";399;436;1360
"Other types of building";"....City of Manila";230;247;806
"Other types of building";"....City of Mandaluyong";8;8;19
"Other types of building";"....City of Marikina";2;2;7
"Other types of building";"....City of Pasig";2;2;5
"Other types of building";"....Quezon City";31;37;94
"Other types of building";"....City of San Juan";15;15;68
"Other types of building";"....City of Caloocan";7;7;13
"Other types of building";"....City of Malabon";43;44;143
"Other types of building";"....City of Navotas";10;10;38
"Other types of building";"....City of Valenzuela";1;1;1
"Other types of building";"....City of Las Piñas";5;5;12
"Other types of building";"....City of Makati";9;16;25
"Other types of building";"....City of Muntinlupa";8;12;30
"Other types of building";"....City of Parañaque";9;9;32
"Other types of building";"....Pasay City";13;13;38
"Other types of building";"....City of Taguig";6;8;29
"Other types of building";"....Pateros";0;0;0
"Other types of building";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";47;47;133
"Other types of building";"....Abra";0;0;0
"Other types of building";"....Apayao";6;6;20
"Other types of building";"....Benguet *";32;32;89
"Other types of building";"....Ifugao";0;0;0
"Other types of building";"....Kalinga";0;0;0
"Other types of building";"....Mountain Province";1;1;1
"Other types of building";"....City of Baguio";8;8;23
"Other types of building";"..REGION I (ILOCOS REGION)";50;50;118
"Other types of building";"....Ilocos Norte";6;6;10
"Other types of building";"....Ilocos Sur";3;3;6
"Other types of building";"....La Union";5;5;16
"Other types of building";"....Pangasinan";36;36;86
"Other types of building";"..REGION II (CAGAYAN VALLEY)";7;10;32
"Other types of building";"....Batanes";1;1;2
"Other types of building";"....Cagayan";0;0;0
"Other types of building";"....Isabela";0;0;0
"Other types of building";"....Nueva Vizcaya";4;7;22
"Other types of building";"....Quirino";2;2;8
"Other types of building";"..REGION III (CENTRAL LUZON)";291;345;1179
"Other types of building";"....Aurora";4;4;5
"Other types of building";"....Bataan";6;6;17
"Other types of building";"....Bulacan";199;247;788
"Other types of building";"....Nueva Ecija";7;7;18
"Other types of building";"....Pampanga *";10;10;38
"Other types of building";"....Tarlac";31;36;130
"Other types of building";"....Zambales *";16;17;122
"Other types of building";"....City of Angeles";16;16;53
"Other types of building";"....City of Olongapo";2;2;8
"Other types of building";"..REGION IV-A (CALABARZON)";378;449;1213
"Other types of building";"....Batangas";63;67;230
"Other types of building";"....Cavite";277;344;882
"Other types of building";"....Laguna";21;21;58
"Other types of building";"....Quezon *";3;3;8
"Other types of building";"....Rizal";14;14;35
"Other types of building";"....City of Lucena";0;0;0
"Other types of building";"..MIMAROPA REGION";4;4;4
"Other types of building";"....Marinduque";1;1;1
"Other types of building";"....Occidental Mindoro";1;1;1
"Other types of building";"....Oriental Mindoro";1;1;1
"Other types of building";"....Palawan *";0;0;0
"Other types of building";"....Romblon";1;1;1
"Other types of building";"....City of Puerto Princesa";0;0;0
"Other types of building";"..REGION V (BICOL REGION)";53;53;188
"Other types of building";"....Albay";7;7;34
"Other types of building";"....Camarines Norte";10;10;19
"Other types of building";"....Camarines Sur";21;21;67
"Other types of building";"....Catanduanes";10;10;45
"Other types of building";"....Masbate";3;3;20
"Other types of building";"....Sorsogon";2;2;3
"Other types of building";"..REGION VI (WESTERN VISAYAS)";60;63;192
"Other types of building";"....Aklan";1;1;1
"Other types of building";"....Antique";2;2;7
"Other types of building";"....Capiz";9;9;31
"Other types of building";"....Guimaras";2;2;5
"Other types of building";"....Iloilo *";27;29;86
"Other types of building";"....Negros Occidental *";0;0;0
"Other types of building";"....City of Bacolod";6;6;11
"Other types of building";"....City of Iloilo";13;14;51
"Other types of building";"..REGION VII (CENTRAL VISAYAS)";67;73;193
"Other types of building";"....Bohol";16;17;47
"Other types of building";"....Cebu *";19;20;47
"Other types of building";"....Negros Oriental";12;12;22
"Other types of building";"....Siquijor";1;1;2
"Other types of building";"....City of Cebu";14;15;62
"Other types of building";"....City of Lapu-Lapu (Opon)";1;1;1
"Other types of building";"....City of Mandaue";4;7;12
"Other types of building";"..REGION VIII (EASTERN VISAYAS)";39;39;109
"Other types of building";"....Biliran";0;0;0
"Other types of building";"....Eastern Samar";4;4;9
"Other types of building";"....Leyte *";19;19;43
"Other types of building";"....Northern Samar";1;1;1
"Other types of building";"....Samar (Western Samar)";4;4;17
"Other types of building";"....Southern Leyte";5;5;20
"Other types of building";"....City of Tacloban";6;6;19
"Other types of building";"..REGION IX (ZAMBOANGA PENINSULA)";30;31;130
"Other types of building";"....Zamboanga del Norte";0;0;0
"Other types of building";"....Zamboanga del Sur *";11;11;45
"Other types of building";"....Zamboanga Sibugay";1;1;4
"Other types of building";"....City of Isabela **";2;3;14
"Other types of building";"....City of Zamboanga";16;16;67
"Other types of building";"..REGION X (NORTHERN MINDANAO)";25;25;65
"Other types of building";"....Bukidnon";9;9;33
"Other types of building";"....Camiguin";0;0;0
"Other types of building";"....Lanao del Norte *";0;0;0
"Other types of building";"....Misamis Occidental";5;5;10
"Other types of building";"....Misamis Oriental *";5;5;13
"Other types of building";"....City of Cagayan de Oro";5;5;8
"Other types of building";"....City of Iligan";1;1;1
"Other types of building";"..REGION XI (DAVAO REGION)";76;90;204
"Other types of building";"....Davao de Oro (Compostela Valley)";6;6;22
"Other types of building";"....Davao del Norte";8;8;23
"Other types of building";"....Davao del Sur *";15;15;54
"Other types of building";"....Davao Occidental";0;0;0
"Other types of building";"....Davao Oriental";1;1;2
"Other types of building";"....City of Davao";46;60;103
"Other types of building";"..REGION XII (SOCCSKSARGEN)";95;96;380
"Other types of building";"....Cotabato (North Cotabato)";73;73;309
"Other types of building";"....Sarangani";0;0;0
"Other types of building";"....South Cotabato *";6;6;28
"Other types of building";"....Sultan Kudarat";1;1;5
"Other types of building";"....City of General Santos (Dadiangas)";15;16;38
"Other types of building";"..REGION XIII (CARAGA)";27;27;69
"Other types of building";"....Agusan del Norte *";0;0;0
"Other types of building";"....Agusan del Sur";12;12;39
"Other types of building";"....Dinagat Islands";0;0;0
"Other types of building";"....Surigao del Norte";2;2;2
"Other types of building";"....Surigao del Sur";6;6;11
"Other types of building";"....City of Butuan";7;7;17
"Other types of building";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)";26;31;204
"Other types of building";"....Basilan";3;3;16
"Other types of building";"....Lanao del Sur";18;23;161
"Other types of building";"....Maguindanao";5;5;27
"Other types of building";"....Sulu";0;0;0
"Other types of building";"....Tawi-Tawi";0;0;0
"Other types of building";"....Eight (8) Area Clusters ***";0;0;0
"Not reported";"PHILIPPINES";76;86;358
"Not reported";"..NATIONAL CAPITAL REGION (NCR)";28;37;160
"Not reported";"....City of Manila";4;12;50
"Not reported";"....City of Mandaluyong";0;0;0
"Not reported";"....City of Marikina";0;0;0
"Not reported";"....City of Pasig";0;0;0
"Not reported";"....Quezon City";20;21;84
"Not reported";"....City of San Juan";0;0;0
"Not reported";"....City of Caloocan";0;0;0
"Not reported";"....City of Malabon";0;0;0
"Not reported";"....City of Navotas";2;2;12
"Not reported";"....City of Valenzuela";2;2;14
"Not reported";"....City of Las Piñas";0;0;0
"Not reported";"....City of Makati";0;0;0
"Not reported";"....City of Muntinlupa";0;0;0
"Not reported";"....City of Parañaque";0;0;0
"Not reported";"....Pasay City";0;0;0
"Not reported";"....City of Taguig";0;0;0
"Not reported";"....Pateros";0;0;0
"Not reported";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";1;1;4
"Not reported";"....Abra";1;1;4
"Not reported";"....Apayao";0;0;0
"Not reported";"....Benguet *";0;0;0
"Not reported";"....Ifugao";0;0;0
"Not reported";"....Kalinga";0;0;0
"Not reported";"....Mountain Province";0;0;0
"Not reported";"....City of Baguio";0;0;0
"Not reported";"..REGION I (ILOCOS REGION)";3;3;7
"Not reported";"....Ilocos Norte";0;0;0
"Not reported";"....Ilocos Sur";0;0;0
"Not reported";"....La Union";0;0;0
"Not reported";"....Pangasinan";3;3;7
"Not reported";"..REGION II (CAGAYAN VALLEY)";2;2;11
"Not reported";"....Batanes";0;0;0
"Not reported";"....Cagayan";0;0;0
"Not reported";"....Isabela";2;2;11
"Not reported";"....Nueva Vizcaya";0;0;0
"Not reported";"....Quirino";0;0;0
"Not reported";"..REGION III (CENTRAL LUZON)";8;8;36
"Not reported";"....Aurora";0;0;0
"Not reported";"....Bataan";2;2;7
"Not reported";"....Bulacan";2;2;7
"Not reported";"....Nueva Ecija";0;0;0
"Not reported";"....Pampanga *";2;2;9
"Not reported";"....Tarlac";2;2;13
"Not reported";"....Zambales *";0;0;0
"Not reported";"....City of Angeles";0;0;0
"Not reported";"....City of Olongapo";0;0;0
"Not reported";"..REGION IV-A (CALABARZON)";13;13;48
"Not reported";"....Batangas";2;2;9
"Not reported";"....Cavite";7;7;25
"Not reported";"....Laguna";2;2;6
"Not reported";"....Quezon *";0;0;0
"Not reported";"....Rizal";2;2;8
"Not reported";"....City of Lucena";0;0;0
"Not reported";"..MIMAROPA REGION";0;0;0
"Not reported";"....Marinduque";0;0;0
"Not reported";"....Occidental Mindoro";0;0;0
"Not reported";"....Oriental Mindoro";0;0;0
"Not reported";"....Palawan *";0;0;0
"Not reported";"....Romblon";0;0;0
"Not reported";"....City of Puerto Princesa";0;0;0
"Not reported";"..REGION V (BICOL REGION)";0;0;0
"Not reported";"....Albay";0;0;0
"Not reported";"....Camarines Norte";0;0;0
"Not reported";"....Camarines Sur";0;0;0
"Not reported";"....Catanduanes";0;0;0
"Not reported";"....Masbate";0;0;0
"Not reported";"....Sorsogon";0;0;0
"Not reported";"..REGION VI (WESTERN VISAYAS)";0;0;0
"Not reported";"....Aklan";0;0;0
"Not reported";"....Antique";0;0;0
"Not reported";"....Capiz";0;0;0
"Not reported";"....Guimaras";0;0;0
"Not reported";"....Iloilo *";0;0;0
"Not reported";"....Negros Occidental *";0;0;0
"Not reported";"....City of Bacolod";0;0;0
"Not reported";"....City of Iloilo";0;0;0
"Not reported";"..REGION VII (CENTRAL VISAYAS)";2;2;10
"Not reported";"....Bohol";0;0;0
"Not reported";"....Cebu *";0;0;0
"Not reported";"....Negros Oriental";2;2;10
"Not reported";"....Siquijor";0;0;0
"Not reported";"....City of Cebu";0;0;0
"Not reported";"....City of Lapu-Lapu (Opon)";0;0;0
"Not reported";"....City of Mandaue";0;0;0
"Not reported";"..REGION VIII (EASTERN VISAYAS)";0;0;0
"Not reported";"....Biliran";0;0;0
"Not reported";"....Eastern Samar";0;0;0
"Not reported";"....Leyte *";0;0;0
"Not reported";"....Northern Samar";0;0;0
"Not reported";"....Samar (Western Samar)";0;0;0
"Not reported";"....Southern Leyte";0;0;0
"Not reported";"....City of Tacloban";0;0;0
"Not reported";"..REGION IX (ZAMBOANGA PENINSULA)";4;5;23
"Not reported";"....Zamboanga del Norte";0;0;0
"Not reported";"....Zamboanga del Sur *";0;0;0
"Not reported";"....Zamboanga Sibugay";0;0;0
"Not reported";"....City of Isabela **";0;0;0
"Not reported";"....City of Zamboanga";4;5;23
"Not reported";"..REGION X (NORTHERN MINDANAO)";5;5;19
"Not reported";"....Bukidnon";1;1;5
"Not reported";"....Camiguin";0;0;0
"Not reported";"....Lanao del Norte *";0;0;0
"Not reported";"....Misamis Occidental";0;0;0
"Not reported";"....Misamis Oriental *";2;2;8
"Not reported";"....City of Cagayan de Oro";0;0;0
"Not reported";"....City of Iligan";2;2;6
"Not reported";"..REGION XI (DAVAO REGION)";6;6;19
"Not reported";"....Davao de Oro (Compostela Valley)";2;2;6
"Not reported";"....Davao del Norte";0;0;0
"Not reported";"....Davao del Sur *";0;0;0
"Not reported";"....Davao Occidental";0;0;0
"Not reported";"....Davao Oriental";2;2;6
"Not reported";"....City of Davao";2;2;7
"Not reported";"..REGION XII (SOCCSKSARGEN)";2;2;9
"Not reported";"....Cotabato (North Cotabato)";0;0;0
"Not reported";"....Sarangani";0;0;0
"Not reported";"....South Cotabato *";0;0;0
"Not reported";"....Sultan Kudarat";2;2;9
"Not reported";"....City of General Santos (Dadiangas)";0;0;0
"Not reported";"..REGION XIII (CARAGA)";0;0;0
"Not reported";"....Agusan del Norte *";0;0;0
"Not reported";"....Agusan del Sur";0;0;0
"Not reported";"....Dinagat Islands";0;0;0
"Not reported";"....Surigao del Norte";0;0;0
"Not reported";"....Surigao del Sur";0;0;0
"Not reported";"....City of Butuan";0;0;0
"Not reported";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)";2;2;12
"Not reported";"....Basilan";0;0;0
"Not reported";"....Lanao del Sur";0;0;0
"Not reported";"....Maguindanao";0;0;0
"Not reported";"....Sulu";2;2;12
"Not reported";"....Tawi-Tawi";0;0;0
"Not reported";"....Eight (8) Area Clusters ***";0;0;0
