"Total Number of Vacancies and Applicants by Major Occupation Group in Establishments with 20 or More Workers, Philippines: January 2013 - June 2014 to January 2015 - June 2016"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OSS/2501B3GS030.px/table/tableViewLayout1/?rxid=8a8a8c67-d058-4943-a972-f0ab3d83f510"
"Major Occupation Group";"2014 Number of Vacancies";"2014 Number of Applicants";"2016 Number of Vacancies";"2016 Number of Applicants"
"ALL OCCUPATIONS";753092;3424633;698683;3824983
"..Corporate Executives, Managers, Managing Proprietors and Supervisors";17433;164842;14887;127411
"..Professionals";92473;654257;91175;559636
"..Technicians and Associate Professionals";70569;440749;83340;965584
"..Clerks";362465;1669618;227100;1485854
"..Service Workers and Shop and Market Sales Workers";78500;262253;115373;311257
"..Farmers, Forestry Workers and Fishermen";910;2271;2069;4351
"..Craft and Related Trades Workers";36987;61064;53028;121715
"..Plant and Machine Operators and Assemblers";56513;101064;59737;117251
"..Laborers and Unskilled Workers";37243;68515;51974;131924
