"Total Number of Establishments with Vacancies by Major Industry Group and Category, Philippines: January 2013 - June 2014 to September 2021 to August 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OSS/1501B3GS020.px/table/tableViewLayout1/?rxid=8a8a8c67-d058-4943-a972-f0ab3d83f510"
"Major Industry Group";"2014 Total Number of Vacancies";"2014 ..Hard-to-fill vacancies";"2014 ..Easy-to-fill vacancies";"2014 ..Both";"2016 Total Number of Vacancies";"2016 ..Hard-to-fill vacancies";"2016 ..Easy-to-fill vacancies";"2016 ..Both";"2018 Total Number of Vacancies";"2018 ..Hard-to-fill vacancies";"2018 ..Easy-to-fill vacancies";"2018 ..Both";"2020 Total Number of Vacancies";"2020 ..Hard-to-fill vacancies";"2020 ..Easy-to-fill vacancies";"2020 ..Both";"2022 Total Number of Vacancies";"2022 ..Hard-to-fill vacancies";"2022 ..Easy-to-fill vacancies";"2022 ..Both"
"ALL INDUSTRIES";15986;3509;7241;5237;16144;3475;7839;4830;16448;3819;7852;4777;11244;3980;4910;2355;13012;5367;4834;2812
"..Agriculture, Forestry and Fishing";256;60;43;153;289;76;179;35;262;57;144;61;85;23;46;16;150;70;55;25
"..Mining and Quarrying";64;12;25;27;94;38;37;19;69;24;29;16;40;16;17;8;53;28;12;13
"..Manufacturing";2676;678;1020;978;3015;738;1266;1012;2901;798;1212;891;2202;757;848;597;2035;837;675;524
"..Electricity, Gas, Steam and Air Conditioning Supply";176;49;72;55;143;52;52;39;168;39;68;62;111;32;44;35;165;63;52;50
"..Water Supply; Sewerage, Waste Management and Remediation Activities";143;39;67;37;170;55;64;51;172;24;77;71;209;95;66;48;139;23;59;57
"..Construction";494;175;63;256;512;134;188;190;489;128;172;189;539;137;302;100;446;186;165;94
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3860;727;1886;1247;3626;718;1750;1158;4023;937;1828;1259;2777;955;1282;540;3340;1298;1296;746
"..Transportation and Storage";528;84;278;165;469;114;182;172;478;131;211;136;318;136;101;81;483;213;168;102
"..Accommodation and Food Service Activities";2179;258;1379;543;2207;234;1505;468;2155;322;1363;469;984;348;478;158;1280;486;628;165
"..Information and Communication";484;160;164;161;484;122;173;189;419;105;152;162;314;129;99;85;379;149;115;115
"..Financial and Insurance Activities";544;111;235;198;792;204;337;251;748;114;410;224;470;118;245;108;737;284;276;178
"..Real Estate Activities";243;86;72;84;229;42;106;81;205;28;68;109;131;58;19;54;285;113;92;80
"..Professional, Scientific and Technical Activities";467;84;236;147;377;90;185;102;438;121;162;154;294;124;133;37;279;126;88;65
"..Administrative and Support Services Activities";1260;169;682;408;1094;238;564;292;1110;204;633;273;971;328;444;198;1078;452;438;188
"..Education except Public Education";1578;438;788;351;1667;302;954;411;1814;371;1034;410;948;212;613;123;1159;414;515;230
"..Human Health and Social Work Activities except Public Health Activities";711;274;99;338;647;256;146;245;737;360;162;214;715;421;149;145;856;549;148;159
"..Arts, Entertainment and Recreation";86;7;51;29;136;21;66;49;102;19;41;42;24;8;10;6;67;36;22;9
"..Other Service Activities except Activities of Membership Organizations";237;97;81;59;194;42;86;66;158;37;87;35;113;82;15;15;80;39;31;11
