"Number of Establishments Employing 20 or More Workers Posted Vacancies in Job Portals by Job Portals Used and Major Industry Group, Philippines: September 2021 to August 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OSS/2801B3GS033.px/table/tableViewLayout1/?rxid=8a8a8c67-d058-4943-a972-f0ab3d83f510"
"Major Industry Group";"2022 Total Number of Establishments Posted Vacancies in Job Portals";"2022 ..Phil-JobNet";"2022 ..JobStreet";"2022 ..Kalibrr";"2022 ..JobsDB";"2022 ..ph.indeed.com";"2022 ..mynimo.com";"2022 ..LinkedIn";"2022 ..Others"
"ALL INDUSTRIES";12493;1266;9228;538;614;4753;1274;4135;257
"..Agriculture, Forestry and Fishing";152;20;122;14;1;51;10;61;3
"..Mining and Quarrying";56;9;40;1;6;15;2;20;0
"..Manufacturing";2334;187;1679;54;96;925;330;562;86
"..Electricity, Gas, Steam and Air Conditioning Supply";106;11;77;9;3;24;7;59;5
"..Water Supply; Sewerage, Waste Management and Remediation Activities";131;12;109;0;4;27;9;25;3
"..Construction";464;31;351;6;26;155;52;122;6
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3551;401;2598;199;124;1334;269;1063;27
"..Transportation and Storage";422;38;279;13;23;193;62;132;2
"..Accommodation and Food Service Activities";947;79;681;33;39;384;66;251;21
"..Information and Communication";549;35;445;47;47;210;74;284;21
"..Financial and Insurance Activities";631;54;550;29;33;190;37;261;17
"..Real Estate Activities";383;34;282;7;17;198;44;139;9
"..Professional, Scientific and Technical Activities";403;33;326;33;20;131;25;190;13
"..Administrative and Support Services Activities";1212;188;925;59;100;473;156;603;16
"..Education except Public Education";533;37;343;9;8;158;68;139;5
"..Human Health and Social Work Activities except Public Health Activities";485;77;337;17;62;247;24;193;17
"..Arts, Entertainment and Recreation";66;0;42;4;3;16;10;20;5
"..Other Service Activities except Activities of Membership Organizations";68;21;44;4;1;24;30;9;0
