"Number of Establishments Employing 20 or More Workers with Employees Who Availed of ECP Benefits  by Type and Duration When Benefit was Received and Major Industry Group, Philippines: 2015 - 2017"
"Carer's Allowance";"Less than one month";"..Arts, Entertainment and  Recreation";4
"Carer's Allowance";"Less than one month";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";6
"Carer's Allowance";"1 to 6 months";"ALL INDUSTRIES";144
"Carer's Allowance";"1 to 6 months";"..Agriculture, Forestry and Fishing";1
"Carer's Allowance";"1 to 6 months";"..Mining and Quarrying";2
"Carer's Allowance";"1 to 6 months";"..Manufacturing";22
"Carer's Allowance";"1 to 6 months";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Carer's Allowance";"1 to 6 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";5
"Carer's Allowance";"1 to 6 months";"..Construction";5
"Carer's Allowance";"1 to 6 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";16
"Carer's Allowance";"1 to 6 months";"..Transportation and Storage";13
"Carer's Allowance";"1 to 6 months";"..Accommodation and Food Service Activities";26
"Carer's Allowance";"1 to 6 months";"..Information and Communication";3
"Carer's Allowance";"1 to 6 months";"..Financial and Insurance Activities";5
"Carer's Allowance";"1 to 6 months";"..Real Estate Activities";..
"Carer's Allowance";"1 to 6 months";"..Professional, Scientific and Technical Activities";4
"Carer's Allowance";"1 to 6 months";"..Administrative and Support Service Activities";6
"Carer's Allowance";"1 to 6 months";"..Education Except Public Education";29
"Carer's Allowance";"1 to 6 months";"..Human Health and Social Work Activities Except Public Health Activities";5
"Carer's Allowance";"1 to 6 months";"..Arts, Entertainment and  Recreation";4
"Carer's Allowance";"1 to 6 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Carer's Allowance";"7 to 12 months";"ALL INDUSTRIES";17
"Carer's Allowance";"7 to 12 months";"..Agriculture, Forestry and Fishing";..
"Carer's Allowance";"7 to 12 months";"..Mining and Quarrying";..
"Carer's Allowance";"7 to 12 months";"..Manufacturing";5
"Carer's Allowance";"7 to 12 months";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Carer's Allowance";"7 to 12 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";1
"Carer's Allowance";"7 to 12 months";"..Construction";1
"Carer's Allowance";"7 to 12 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";..
"Carer's Allowance";"7 to 12 months";"..Transportation and Storage";7
"Carer's Allowance";"7 to 12 months";"..Accommodation and Food Service Activities";..
"Carer's Allowance";"7 to 12 months";"..Information and Communication";..
"Carer's Allowance";"7 to 12 months";"..Financial and Insurance Activities";..
"Carer's Allowance";"7 to 12 months";"..Real Estate Activities";..
"Carer's Allowance";"7 to 12 months";"..Professional, Scientific and Technical Activities";..
"Carer's Allowance";"7 to 12 months";"..Administrative and Support Service Activities";..
"Carer's Allowance";"7 to 12 months";"..Education Except Public Education";..
"Carer's Allowance";"7 to 12 months";"..Human Health and Social Work Activities Except Public Health Activities";3
"Carer's Allowance";"7 to 12 months";"..Arts, Entertainment and  Recreation";..
"Carer's Allowance";"7 to 12 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Carer's Allowance";"More than 12 months";"ALL INDUSTRIES";6
"Carer's Allowance";"More than 12 months";"..Agriculture, Forestry and Fishing";..
"Carer's Allowance";"More than 12 months";"..Mining and Quarrying";..
"Carer's Allowance";"More than 12 months";"..Manufacturing";1
"Carer's Allowance";"More than 12 months";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Carer's Allowance";"More than 12 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Carer's Allowance";"More than 12 months";"..Construction";..
"Carer's Allowance";"More than 12 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";..
"Carer's Allowance";"More than 12 months";"..Transportation and Storage";2
"Carer's Allowance";"More than 12 months";"..Accommodation and Food Service Activities";..
"Carer's Allowance";"More than 12 months";"..Information and Communication";..
"Carer's Allowance";"More than 12 months";"..Financial and Insurance Activities";..
"Carer's Allowance";"More than 12 months";"..Real Estate Activities";..
"Carer's Allowance";"More than 12 months";"..Professional, Scientific and Technical Activities";..
"Carer's Allowance";"More than 12 months";"..Administrative and Support Service Activities";4
"Carer's Allowance";"More than 12 months";"..Education Except Public Education";..
"Carer's Allowance";"More than 12 months";"..Human Health and Social Work Activities Except Public Health Activities";..
"Carer's Allowance";"More than 12 months";"..Arts, Entertainment and  Recreation";..
"Carer's Allowance";"More than 12 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Carer's Allowance";"Do not know";"ALL INDUSTRIES";71
"Carer's Allowance";"Do not know";"..Agriculture, Forestry and Fishing";5
"Carer's Allowance";"Do not know";"..Mining and Quarrying";..
"Carer's Allowance";"Do not know";"..Manufacturing";10
"Carer's Allowance";"Do not know";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Carer's Allowance";"Do not know";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Carer's Allowance";"Do not know";"..Construction";..
"Carer's Allowance";"Do not know";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";19
"Carer's Allowance";"Do not know";"..Transportation and Storage";3
"Carer's Allowance";"Do not know";"..Accommodation and Food Service Activities";1
"Carer's Allowance";"Do not know";"..Information and Communication";1
"Carer's Allowance";"Do not know";"..Financial and Insurance Activities";6
"Carer's Allowance";"Do not know";"..Real Estate Activities";..
"Carer's Allowance";"Do not know";"..Professional, Scientific and Technical Activities";3
"Carer's Allowance";"Do not know";"..Administrative and Support Service Activities";6
"Carer's Allowance";"Do not know";"..Education Except Public Education";13
"Carer's Allowance";"Do not know";"..Human Health and Social Work Activities Except Public Health Activities";..
"Carer's Allowance";"Do not know";"..Arts, Entertainment and  Recreation";1
"Carer's Allowance";"Do not know";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Survivorship Pension";"Less than one month";"ALL INDUSTRIES";125
"Survivorship Pension";"Less than one month";"..Agriculture, Forestry and Fishing";16
"Survivorship Pension";"Less than one month";"..Mining and Quarrying";..
"Survivorship Pension";"Less than one month";"..Manufacturing";27
"Survivorship Pension";"Less than one month";"..Electricity, Gas, Steam and Air Conditioning Supply";4
"Survivorship Pension";"Less than one month";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Survivorship Pension";"Less than one month";"..Construction";8
"Survivorship Pension";"Less than one month";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";28
"Survivorship Pension";"Less than one month";"..Transportation and Storage";8
"Survivorship Pension";"Less than one month";"..Accommodation and Food Service Activities";14
"Survivorship Pension";"Less than one month";"..Information and Communication";2
"Survivorship Pension";"Less than one month";"..Financial and Insurance Activities";3
"Survivorship Pension";"Less than one month";"..Real Estate Activities";..
"Survivorship Pension";"Less than one month";"..Professional, Scientific and Technical Activities";2
"Survivorship Pension";"Less than one month";"..Administrative and Support Service Activities";10
"Survivorship Pension";"Less than one month";"..Education Except Public Education";1
"Survivorship Pension";"Less than one month";"..Human Health and Social Work Activities Except Public Health Activities";..
"Survivorship Pension";"Less than one month";"..Arts, Entertainment and  Recreation";..
"Survivorship Pension";"Less than one month";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";2
"Survivorship Pension";"1 to 6 months";"ALL INDUSTRIES";228
"Survivorship Pension";"1 to 6 months";"..Agriculture, Forestry and Fishing";19
"Survivorship Pension";"1 to 6 months";"..Mining and Quarrying";4
"Survivorship Pension";"1 to 6 months";"..Manufacturing";45
"Survivorship Pension";"1 to 6 months";"..Electricity, Gas, Steam and Air Conditioning Supply";4
"Survivorship Pension";"1 to 6 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";17
"Survivorship Pension";"1 to 6 months";"..Construction";13
"Survivorship Pension";"1 to 6 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";27
"Survivorship Pension";"1 to 6 months";"..Transportation and Storage";6
"Survivorship Pension";"1 to 6 months";"..Accommodation and Food Service Activities";9
"Survivorship Pension";"1 to 6 months";"..Information and Communication";2
"Survivorship Pension";"1 to 6 months";"..Financial and Insurance Activities";6
"Survivorship Pension";"1 to 6 months";"..Real Estate Activities";6
"Survivorship Pension";"1 to 6 months";"..Professional, Scientific and Technical Activities";10
"Survivorship Pension";"1 to 6 months";"..Administrative and Support Service Activities";17
"Survivorship Pension";"1 to 6 months";"..Education Except Public Education";34
"Survivorship Pension";"1 to 6 months";"..Human Health and Social Work Activities Except Public Health Activities";3
"Survivorship Pension";"1 to 6 months";"..Arts, Entertainment and  Recreation";4
"Survivorship Pension";"1 to 6 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";2
"Survivorship Pension";"7 to 12 months";"ALL INDUSTRIES";50
"Survivorship Pension";"7 to 12 months";"..Agriculture, Forestry and Fishing";7
"Survivorship Pension";"7 to 12 months";"..Mining and Quarrying";..
"Survivorship Pension";"7 to 12 months";"..Manufacturing";10
"Survivorship Pension";"7 to 12 months";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Survivorship Pension";"7 to 12 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";1
"Survivorship Pension";"7 to 12 months";"..Construction";1
"Survivorship Pension";"7 to 12 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";..
"Survivorship Pension";"7 to 12 months";"..Transportation and Storage";6
"Survivorship Pension";"7 to 12 months";"..Accommodation and Food Service Activities";8
"Survivorship Pension";"7 to 12 months";"..Information and Communication";3
"Survivorship Pension";"7 to 12 months";"..Financial and Insurance Activities";10
"Survivorship Pension";"7 to 12 months";"..Real Estate Activities";..
"Survivorship Pension";"7 to 12 months";"..Professional, Scientific and Technical Activities";..
"Survivorship Pension";"7 to 12 months";"..Administrative and Support Service Activities";..
"Survivorship Pension";"7 to 12 months";"..Education Except Public Education";6
"Survivorship Pension";"7 to 12 months";"..Human Health and Social Work Activities Except Public Health Activities";..
"Survivorship Pension";"7 to 12 months";"..Arts, Entertainment and  Recreation";..
"Survivorship Pension";"7 to 12 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Survivorship Pension";"More than 12 months";"ALL INDUSTRIES";35
"Survivorship Pension";"More than 12 months";"..Agriculture, Forestry and Fishing";..
"Survivorship Pension";"More than 12 months";"..Mining and Quarrying";..
"Survivorship Pension";"More than 12 months";"..Manufacturing";1
"Survivorship Pension";"More than 12 months";"..Electricity, Gas, Steam and Air Conditioning Supply";1
"Survivorship Pension";"More than 12 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Survivorship Pension";"More than 12 months";"..Construction";..
"Survivorship Pension";"More than 12 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";9
"Survivorship Pension";"More than 12 months";"..Transportation and Storage";6
"Survivorship Pension";"More than 12 months";"..Accommodation and Food Service Activities";1
"Survivorship Pension";"More than 12 months";"..Information and Communication";..
"Survivorship Pension";"More than 12 months";"..Financial and Insurance Activities";..
"Survivorship Pension";"More than 12 months";"..Real Estate Activities";..
"Survivorship Pension";"More than 12 months";"..Professional, Scientific and Technical Activities";..
"Survivorship Pension";"More than 12 months";"..Administrative and Support Service Activities";4
"Survivorship Pension";"More than 12 months";"..Education Except Public Education";8
"Survivorship Pension";"More than 12 months";"..Human Health and Social Work Activities Except Public Health Activities";3
"Survivorship Pension";"More than 12 months";"..Arts, Entertainment and  Recreation";2
"Survivorship Pension";"More than 12 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Survivorship Pension";"Do not know";"ALL INDUSTRIES";62
"Survivorship Pension";"Do not know";"..Agriculture, Forestry and Fishing";..
"Survivorship Pension";"Do not know";"..Mining and Quarrying";..
"Survivorship Pension";"Do not know";"..Manufacturing";11
"Survivorship Pension";"Do not know";"..Electricity, Gas, Steam and Air Conditioning Supply";4
"Survivorship Pension";"Do not know";"..Water Supply; Sewerage, Waste Management and Remediation Activities";3
"Survivorship Pension";"Do not know";"..Construction";..
"Survivorship Pension";"Do not know";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";7
"Survivorship Pension";"Do not know";"..Transportation and Storage";4
"Survivorship Pension";"Do not know";"..Accommodation and Food Service Activities";..
"Survivorship Pension";"Do not know";"..Information and Communication";1
"Survivorship Pension";"Do not know";"..Financial and Insurance Activities";7
"Survivorship Pension";"Do not know";"..Real Estate Activities";..
"Survivorship Pension";"Do not know";"..Professional, Scientific and Technical Activities";3
"Survivorship Pension";"Do not know";"..Administrative and Support Service Activities";8
"Survivorship Pension";"Do not know";"..Education Except Public Education";9
"Survivorship Pension";"Do not know";"..Human Health and Social Work Activities Except Public Health Activities";2
"Survivorship Pension";"Do not know";"..Arts, Entertainment and  Recreation";1
"Survivorship Pension";"Do not know";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Others";"Less than one month";"ALL INDUSTRIES";41
"Others";"Less than one month";"..Agriculture, Forestry and Fishing";1
"Others";"Less than one month";"..Mining and Quarrying";1
"Others";"Less than one month";"..Manufacturing";12
"Others";"Less than one month";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Others";"Less than one month";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Others";"Less than one month";"..Construction";2
"Others";"Less than one month";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";10
"Others";"Less than one month";"..Transportation and Storage";..
"Others";"Less than one month";"..Accommodation and Food Service Activities";..
"Others";"Less than one month";"..Information and Communication";1
"Others";"Less than one month";"..Financial and Insurance Activities";..
"Others";"Less than one month";"..Real Estate Activities";..
"Others";"Less than one month";"..Professional, Scientific and Technical Activities";2
"Others";"Less than one month";"..Administrative and Support Service Activities";6
"Others";"Less than one month";"..Education Except Public Education";1
"Others";"Less than one month";"..Human Health and Social Work Activities Except Public Health Activities";5
"Others";"Less than one month";"..Arts, Entertainment and  Recreation";..
"Others";"Less than one month";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Others";"1 to 6 months";"ALL INDUSTRIES";77
"Others";"1 to 6 months";"..Agriculture, Forestry and Fishing";..
"Others";"1 to 6 months";"..Mining and Quarrying";..
"Others";"1 to 6 months";"..Manufacturing";21
"Others";"1 to 6 months";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Others";"1 to 6 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Others";"1 to 6 months";"..Construction";2
"Others";"1 to 6 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";32
"Others";"1 to 6 months";"..Transportation and Storage";3
"Others";"1 to 6 months";"..Accommodation and Food Service Activities";5
"Others";"1 to 6 months";"..Information and Communication";1
"Others";"1 to 6 months";"..Financial and Insurance Activities";..
"Others";"1 to 6 months";"..Real Estate Activities";..
"Others";"1 to 6 months";"..Professional, Scientific and Technical Activities";1
"Others";"1 to 6 months";"..Administrative and Support Service Activities";4
"Others";"1 to 6 months";"..Education Except Public Education";3
"Others";"1 to 6 months";"..Human Health and Social Work Activities Except Public Health Activities";4
"Others";"1 to 6 months";"..Arts, Entertainment and  Recreation";..
"Others";"1 to 6 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Others";"7 to 12 months";"ALL INDUSTRIES";5
"Others";"7 to 12 months";"..Agriculture, Forestry and Fishing";..
"Others";"7 to 12 months";"..Mining and Quarrying";..
"Others";"7 to 12 months";"..Manufacturing";..
"Others";"7 to 12 months";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Others";"7 to 12 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Others";"7 to 12 months";"..Construction";..
"Others";"7 to 12 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1
"Others";"7 to 12 months";"..Transportation and Storage";..
"Others";"7 to 12 months";"..Accommodation and Food Service Activities";..
"Others";"7 to 12 months";"..Information and Communication";..
"Others";"7 to 12 months";"..Financial and Insurance Activities";..
"Others";"7 to 12 months";"..Real Estate Activities";..
"Others";"7 to 12 months";"..Professional, Scientific and Technical Activities";2
"Others";"7 to 12 months";"..Administrative and Support Service Activities";..
"Others";"7 to 12 months";"..Education Except Public Education";1
"Others";"7 to 12 months";"..Human Health and Social Work Activities Except Public Health Activities";..
"Others";"7 to 12 months";"..Arts, Entertainment and  Recreation";..
"Others";"7 to 12 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Others";"More than 12 months";"ALL INDUSTRIES";6
"Others";"More than 12 months";"..Agriculture, Forestry and Fishing";..
"Others";"More than 12 months";"..Mining and Quarrying";..
"Others";"More than 12 months";"..Manufacturing";..
"Others";"More than 12 months";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Others";"More than 12 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Others";"More than 12 months";"..Construction";..
"Others";"More than 12 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";..
"Others";"More than 12 months";"..Transportation and Storage";..
"Others";"More than 12 months";"..Accommodation and Food Service Activities";..
"Others";"More than 12 months";"..Information and Communication";..
"Others";"More than 12 months";"..Financial and Insurance Activities";..
"Others";"More than 12 months";"..Real Estate Activities";..
"Others";"More than 12 months";"..Professional, Scientific and Technical Activities";..
"Others";"More than 12 months";"..Administrative and Support Service Activities";..
"Others";"More than 12 months";"..Education Except Public Education";6
"Others";"More than 12 months";"..Human Health and Social Work Activities Except Public Health Activities";..
"Others";"More than 12 months";"..Arts, Entertainment and  Recreation";..
"Others";"More than 12 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Others";"Do not know";"ALL INDUSTRIES";4
"Others";"Do not know";"..Agriculture, Forestry and Fishing";..
"Others";"Do not know";"..Mining and Quarrying";..
"Others";"Do not know";"..Manufacturing";2
"Others";"Do not know";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Others";"Do not know";"..Water Supply; Sewerage, Waste Management and Remediation Activities";1
"Others";"Do not know";"..Construction";..
"Others";"Do not know";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";..
"Others";"Do not know";"..Transportation and Storage";..
"Others";"Do not know";"..Accommodation and Food Service Activities";..
"Others";"Do not know";"..Information and Communication";..
"Others";"Do not know";"..Financial and Insurance Activities";1
"Others";"Do not know";"..Real Estate Activities";..
"Others";"Do not know";"..Professional, Scientific and Technical Activities";..
"Others";"Do not know";"..Administrative and Support Service Activities";..
"Others";"Do not know";"..Education Except Public Education";..
"Others";"Do not know";"..Human Health and Social Work Activities Except Public Health Activities";..
"Others";"Do not know";"..Arts, Entertainment and  Recreation";..
"Others";"Do not know";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
